mz,8EV,10EV,15EV,20EV,25EV
102.0466762,0,0.001218412,0.016587798,0.019510174,0.008361732
103.0540046,0,0.010431399,0.04164403,0.039671385,0.010361528
104.0632798,0,0.000973351,0.007249324,0.002701357,0.00072051
105.0357659,0.001724576,0.012162989,0.026609854,0.022194118,0.006238621
111.0090483,0,0,0.015274408,0.017403837,0.00463319
112.0144283,0,0,0.009994633,0.008583417,0.002833424
115.0540805,0,0.00670273,0.028775942,0.026431111,0.009245256
116.0590869,0,0.002111958,0.010894787,0.006142843,0.0011331
117.0752935,0,0,0.001936602,0.001272227,0
126.0476772,0,0,0.002281953,0.002857102,0.001065025
127.0033842,0,0,0.008324025,0,0
128.0630635,0,0,0.00734021,0.006966264,0.00118892
131.0489849,0,0.002631773,0.017499132,0.010196253,0.001625803
137.0368139,0,0,0.001258939,0.000727042,0
139.0031269,0,0.028109183,0.100364947,0.118436792,0.033428811
140.0611538,0,0,0.010708933,0,0
141.0678695,0,0.000867767,0.007959745,0.003777141,0.000747062
143.052853,0,0,0.001419343,0,0
144.0560957,0,0.003234889,0.018368989,0.006409729,0.000922541
145.0652324,0,0.002948979,0.012478217,0.008119768,0.001363349
150.0490255,0,0.001711782,0.007343854,0.001797482,0
151.0566076,0,0,0.003567348,0.001402152,0
152.0609716,0,0,0.00187982,0.003096875,0
153.0194161,0,0,0.003088187,0.007088716,0
155.0473894,0,0.002698377,0.014461087,0.009702404,0.002372104
157.0125289,0,0,0.00849018,0.014299583,0.002128213
168.0582094,0,0.008001594,0.031839246,0.015713742,0
169.0670703,0,0.001525779,0.006943938,0.003789514,0
171.0451163,0,0.006099365,0.02736744,0.016270182,0.002646314
172.0558157,0,0.001301576,0.00178843,0,0
173.0656228,0,0.001046099,0.002793132,0.001378075,0
179.0447888,0,0.017114381,0.048035089,0.020041548,0.003308342
185.0081128,0,0.002616993,0.013710482,0.020991591,0.003679953
186.0150637,0,0.014915081,0.047274339,0.0170682,0.003154886
195.0494886,0,0,0.001322445,0.001359779,0
196.0522416,0,0.001134467,0.00668918,0.002012138,0
197.0626189,0,0.002864374,0.010092615,0.004798224,0.001376794
199.041361,0,0.001994746,0.006611278,0.002971719,0
213.052676,0,0.009463636,0.026279887,0.011710613,0.002083254
217.0517153,0,0,0.002945305,0.001393578,0
218.0579581,0,0.00264331,0.006477156,0.001080863,0
224.0545533,0,0.004418668,0.009362572,0.001591989,0
225.0577233,0,0,0.00216264,0.002149724,0
226.0631396,0,0,0.013399605,0.007505034,0
240.0410774,0,0,0.001316122,0.003179405,0
241.0488831,0.001764873,0.057285112,0.161591383,0.102669929,0.040130427
242.0577086,0.001557519,0.030503,0.047016567,0.02305487,0.003583068
255.0657433,0,0,0.008813332,0.006522171,0.001157646
269.0442919,0.016701407,0.175579346,0.281151868,0.214908748,0.094657448
270.0544387,0.376120282,0.682420502,0.535593231,0.44148908,0.2251814
