mz,8EV,10EV,15EV,20EV,25EV
102.0473973,0,0,0,0.001918078,0
103.0542269,0,0,0.005714882,0.0039643,0
112.0151361,0,0,0,0.007012858,0
115.0542578,0,0.002746477,0.013157069,0.011406524,0
117.0665113,0,0.001671328,0,0,0
118.0392285,0,0,0.005347361,0.020857983,0.016996787
119.0491324,0,0.014542767,0.052710118,0.039747349,0.009694188
120.0558176,0,0,0.005052835,0,0
121.0279057,0,0.005814472,0.02366325,0.015956228,0.005287944
123.0088512,0,0.014680555,0.085647228,0.047765247,0.012637326
127.0046183,0,0,0,0.005234145,0
128.0642978,0,0,0.011100762,0.010826836,0.001599763
129.0682204,0,0,0.003149927,0,0
131.0462909,0,0.006085499,0.011984273,0.009167375,0
139.0049388,0,0,0.00964905,0.005296293,0
139.0511834,0,0,0,0.005424932,0
140.0090137,0,0,0.007967995,0.024981406,0
141.0190308,0,0.002689406,0.025484294,0.016939973,0
145.0646928,0,0.003262959,0,0.00255081,0
147.0412005,0,0,0.004797953,0,0
151.0018047,0,0,0.005386286,0.003150892,0
155.0443425,0,0,0,0.006057261,0
156.0532154,0,0,0,0.001416541,0
157.0665889,0,0.00876657,0.020842613,0.004991262,0
168.0092192,0,0.01765461,0.068085859,0.043749464,0.008447756
169.0160164,0,0.027416304,0.096734912,0.094198781,0.036424115
171.043763,0,0.004131799,0.010554629,0.00399832,0
184.0556347,0,0,0.004359709,0.003258296,0
185.0093063,0,0.014836623,0.009205537,0.003865868,0
186.0162557,0,0.018573671,0.098792507,0.059713335,0.008913698
187.0219152,0,0,0.004313722,0.001579067,0
195.0374232,0,0,0.003414677,0,0
199.0356157,0,0,0.00409747,0,0
212.0438918,0,0,0.00332571,0,0
213.0573992,0,0.004059645,0.008406026,0,0
229.0483029,0,0,0.006573362,0.004818723,0
240.0424905,0,0.001675553,0,0,0
241.0492054,0.055031683,0.210050962,0.081040533,0.054072093,0.01131936
245.0449425,0,0,0.004964738,0.002147573,0
257.0594193,0,0,0.012302728,0.016643196,0
258.0539154,0,0.029600582,0.106524547,0.065424189,0.012334531
259.0487533,0,0.002217378,0,0,0
269.054148,0.038409495,0.072803941,0.032415828,0.022880236,0
273.0445762,0.003848741,0.002299744,0,0,0
285.0464111,0,0.006785772,0.017859363,0.012234226,0
