mz,8EV,10EV,15EV,20EV,25EV
102.0477217,0,0,0.002173626,0.002757636,0
103.0545541,0,0,0.005836503,0.004385312,0
105.0317918,0,0,0.002913868,0.004634,0
107.0491205,0,0,0.003593265,0,0
108.0191182,0,0,0,0.001955038,0
111.01114,0,0,0.00361017,0.006272184,0.001877768
115.0546183,0,0.003476197,0.013368334,0.012625108,0.003318322
117.0339923,0,0,0.005745609,0.00408326,0
121.0261253,0,0.001533477,0.003149842,0.003393584,0
123.0124961,0,0,0.006650667,0.008695514,0
124.0161123,0,0.002824153,0.023971545,0.047407,0.008475438
126.0454843,0,0,0.006603492,0.004710226,0
128.0646941,0,0.001635228,0.014681703,0.013218195,0
129.0184971,0,0,0.005995369,0,0
131.0489403,0,0,0.004018085,0.005019524,0
134.0369061,0,0,0.04157796,0.047591999,0.016117213
135.0445571,0,0.012151661,0.043844762,0.028248643,0
136.0491196,0,0,0.002095813,0,0
137.0195266,0,0.017981215,0.061250518,0.036427551,0.008663808
139.0504535,0,0.004309072,0.023953756,0.014961769,0
143.0339745,0,0,0.002783041,0,0
145.0686784,0,0,0.007249911,0.005811361,0
147.0452155,0,0.003538362,0.0100704,0.005402592,0
149.0255509,0,0.008229301,0.005410567,0,0
150.0278916,0,0,0.006914763,0,0
152.01001,0,0,0.006338542,0.005220101,0
153.0198951,0.01276648,0.09354555,0.210779628,0.163315376,0.052153148
154.0258224,0,0,0.00350494,0,0
155.0558006,0,0,0.008572507,0.011028398,0
156.0573626,0,0,0,0.00232111,0
157.0646065,0,0.005121169,0.015351258,0.007719089,0
161.0226973,0,0.005017792,0.01932596,0.008946409,0
167.0439474,0,0,0.006052797,0,0
170.022496,0,0.002196739,0.014340765,0.011958616,0
171.044276,0,0.010255131,0.037799116,0.021243222,0
173.0570312,0,0,0.004590868,0.005827476,0
175.0504238,0,0,0.00186532,0.001508615,0
176.0494492,0,0,0.001955237,0.002073989,0
178.0259369,0,0,0.002822886,0,0
179.0320934,0,0.004868208,0.008666502,0.007109115,0
183.0439459,0,0,0.002460863,0.003783833,0
184.0495316,0,0.00200746,0.015669125,0.010803124,0
185.057872,0,0.011859173,0.018559942,0.008398076,0
187.0385624,0,0,0.006451862,0.004498846,0
189.051366,0,0.004908119,0,0,0
195.03937,0,0,0.002638902,0,0
199.0375871,0,0,0,0.001882634,0
201.0581643,0,0,0.007579944,0.005218771,0
203.0344544,0.001701643,0.010886136,0.021227718,0.019756506,0.004154966
211.0376941,0,0,0,0.002425716,0
212.0416591,0,0,0.007639312,0.004435871,0
213.0523,0.005535006,0.036422816,0.047990354,0.029185068,0.005822042
216.0453118,0,0,0.003234623,0.001674986,0
217.0582151,0.003153951,0.015934296,0.003702324,0.00264833,0
228.0395268,0,0,0.002470571,0,0
229.048971,0,0.007082391,0.050235728,0.053343651,0.008891464
230.0561828,0,0,0.002396817,0,0
231.061133,0.003149855,0.019197325,0.005846501,0.002181589,0
240.0447068,0,0,0.004196173,0,0
241.0346823,0.006542832,0.031031224,0.027753624,0.01316979,0.001862429
242.0617804,0,0,0.002566998,0,0
245.0517924,0,0.005287674,0.00299983,0,0
257.0444412,0,0.010083479,0.045479059,0.04361827,0.009295337
258.0530851,0.006036226,0.102168375,0.264362093,0.145588283,0.033307334
259.0637041,0,0.002950421,0,0,0
263.0559538,0,0.002226495,0,0,0
269.0452719,0.005119126,0.030942463,0.0233947,0.013708757,0.00280033
273.0307789,0,0.002304482,0.002344787,0,0
285.0389498,0,0.015790104,0.04057992,0.025018817,0.004961827
