mz,8EV,10EV,15EV,20EV,25EV
102.0426844,0,0,0.002776019,0.002475633,0
103.0534749,0,0,0.009033381,0.006774378,0
105.0327149,0,0.007808343,0.019390072,0.020354175,0.008639062
107.0510698,0,0.009209584,0.030407429,0.028657083,0.006204403
109.0261725,0,0.004208055,0.007423583,0.003255654,0
111.0069324,0,0.017571516,0.011916539,0.007864449,0.002667536
115.0587544,0,0.007335823,0.01878732,0.015446809,0.002658482
117.0678697,0,0,0.005446087,0,0
118.0395298,0,0,0.005904528,0.009917403,0
119.0505075,0,0,0.003697624,0.002493198,0
121.02714,0.004220302,0.060678499,0.102523554,0.092576492,0.034261896
123.015697,0,0,0.004136841,0.006492129,0
124.01496,0,0,0.018052798,0.019984664,0.004209739
126.0465272,0,0,0.002869892,0.004838298,0
127.0370018,0,0.001536503,0.003549411,0.002548628,0
128.0635291,0,0.005148367,0.020769099,0.019091268,0.002630907
129.0707931,0,0,0.006342565,0,0
131.0488885,0,0,0.007329141,0.007372496,0
133.0307174,0,0.016565742,0.00994472,0.00442119,0.001566713
134.0368581,0,0.009182697,0.013057082,0.014517704,0.00387886
137.0229256,0,0.01812259,0.0420392,0.024564751,0.00624197
138.0301996,0,0,0.003920198,0,0
139.0527243,0,0,0.010158809,0.008381264,0
141.066002,0,0,0.002651294,0,0
143.0527012,0,0,0.00339604,0,0
144.0571445,0,0,0.003254667,0,0
145.0639208,0,0.008627658,0.015139232,0.007689877,0.00252572
147.0404285,0,0.011090948,0.016280254,0.008720975,0
152.0099856,0,0,0.002242555,0.002963178,0
153.0162334,0.008203339,0.097261344,0.153542487,0.105177267,0.037213834
155.0435711,0,0,0.011876614,0.009925767,0.003272972
156.0561188,0,0,0.001836846,0,0
157.0633602,0,0.012388005,0.039866027,0.019516047,0.003894885
161.0575251,0,0,0.005700586,0.00458625,0
165.0161804,0.024467318,0.105626668,0.058292716,0.035289051,0.011576491
168.0554783,0,0,0.003288114,0,0
170.030168,0,0,0.00435594,0.00534762,0
171.0442784,0,0.006529806,0.015743104,0.008087423,0
173.0634859,0,0.006429464,0.00684785,0.006987221,0
183.03468,0,0.02794674,0.01977698,0.011502232,0.003043595
184.0615251,0,0.00588337,0.026233038,0.01851194,0
185.067232,0,0.014442023,0.017771437,0.008080248,0
187.0426113,0,0,0.002964651,0.002877605,0
188.0483511,0,0,0.005216949,0.002493233,0
189.0554395,0,0.002581833,0.003533893,0,0
193.0139591,0,0.003723779,0.004464688,0,0
194.0233135,0,0.016983252,0.021102404,0.009759455,0.00159755
197.0616647,0,0.004452053,0.00367705,0,0
199.0376315,0,0.002458247,0,0,0
201.0526506,0,0.001868063,0.008797879,0.010794528,0
202.063269,0,0,0.003929018,0,0
203.0345051,0,0,0.00257244,0,0
211.0349085,0,0,0.001645732,0.002207457,0
212.0517185,0,0.007051875,0.028007204,0.01322657,0.002608045
213.0552288,0.004621404,0.071881972,0.088088227,0.042921777,0.012108838
216.0381772,0,0,0.002912652,0,0
229.0564831,0,0.014098671,0.073359771,0.060101536,0.013727247
230.0562768,0,0.007356018,0.028263153,0.012499396,0.002870807
231.0657,0,0.022565111,0.012001986,0.004485805,0
240.0357027,0,0,0.003357491,0,0
241.0545845,0.006745548,0.066843079,0.035389476,0.019741816,0.003825943
242.0420631,0,0.002945299,0.003471164,0,0
257.0414365,0,0.0134582,0.046224175,0.03374345,0.009328329
258.0548013,0.004335166,0.080274156,0.182056354,0.088945109,0.024250935
259.0606905,0,0.019144548,0.00470822,0.004456813,0
269.0470403,0.007399851,0.023875048,0.01277408,0.006993044,0
284.0351952,0,0,0.003777816,0,0
285.0457596,0,0.045862851,0.119714118,0.055998254,0.01613102
