mz,8EV,10EV,15EV,20EV,25EV
102.0492057,0,0,0.003576246,0.002371709,0
103.0520612,0,0.007559912,0.013751389,0.008870836,0
107.0120801,0,0.0026752,0.004404971,0.005705775,0
108.0165526,0,0.003213817,0.022405983,0.022238877,0.006721721
109.0308364,0.003442584,0.033316743,0.03034611,0.017004609,0.004197302
110.0364888,0,0.002820661,0.015439694,0.011492591,0.002472487
111.043658,0,0.013539296,0.012319102,0.005973684,0
114.5235491,0,0,0,0.002091335,0
115.0508996,0,0.01252215,0.031736792,0.030538925,0.00891242
116.062752,0,0,0.004410056,0.005798958,0
117.0673644,0,0.009950935,0.013985315,0.007660043,0
118.0432795,0,0,0.00231427,0.002289097,0
119.0125487,0,0,0,0.004119044,0
121.0309245,0.005469005,0.053344749,0.060773256,0.040051721,0.010438847
125.0231914,0,0.007195874,0.007027642,0.005168689,0.001601689
126.0371588,0,0,0.007831688,0.008105661,0
127.0452748,0,0.003759062,0.0060977,0.004176614,0
128.0640639,0,0,0.005315877,0.003401075,0
128.5194001,0,0,0,0.002836694,0
131.053907,0,0.008280536,0.013717254,0.008998303,0
133.0583849,0,0,0,0.002072907,0
136.0141408,0,0.001971858,0.003327287,0.003104406,0
137.0257369,0.037458391,0.198897583,0.211760665,0.160804263,0.061792966
138.033017,0,0.012983023,0.013242124,0.006720227,0
139.045142,0,0.005626676,0.009506327,0.006386772,0
143.0461667,0,0,0,0.005505962,0
144.0623514,0,0.004271688,0.009499199,0.008385462,0.001615457
145.0667798,0,0.017379216,0.026774135,0.015650885,0.002706898
147.0444878,0,0.003371974,0.013224971,0.013434438,0.002859358
149.0248129,0.016035565,0.092949451,0.047206046,0.030231855,0.008157088
150.0355554,0,0.010531464,0.014804972,0.007812284,0
153.0167108,0.006077944,0.054757778,0.05357639,0.042006653,0.013563258
154.0299262,0,0,0.005900067,0.003507197,0
155.0489269,0,0.010078951,0.025103327,0.017413658,0.002349483
157.0613695,0,0.004586772,0.003273145,0.001468203,0
159.0459795,0,0.004080426,0.003217987,0.002438187,0
161.0592258,0,0.002510569,0.006379111,0.007783856,0
163.031296,0,0.009932221,0.014213475,0.012550058,0
165.019145,0.018025936,0.069659496,0.027649288,0.021035966,0.004808206
166.0270619,0,0.00716579,0.015451777,0.009706935,0
167.0291771,0,0.014993479,0.008171637,0.004351813,0
170.0178143,0,0,0.004373268,0,0
171.0459892,0,0.002091798,0.012403817,0.013739955,0.003191571
172.0502544,0,0.002120312,0.008787665,0.004331265,0
173.0651985,0,0.037488502,0.031235975,0.015911986,0.003277918
174.0300905,0,0,0,0.002343427,0
175.0365792,0,0,0.006429821,0.004360931,0
176.044669,0,0,0.004478195,0.001588202,0
177.0165152,0,0,0.004341591,0,0
177.0452162,0,0.004261092,0,0,0
178.0289742,0,0.00587278,0.011915363,0.005624074,0
179.0285767,0.005824118,0.045843062,0.024688747,0.013033963,0.002934837
183.0363997,0,0.010428309,0.012647399,0.007262795,0
184.0512734,0,0,0.00661272,0,0
185.0529466,0,0.001569601,0.001943302,0,0
187.0389692,0,0.013045293,0.014238337,0.009299028,0.002925538
188.0487288,0,0,0.00312316,0,0
189.0571623,0,0.004364867,0.01606664,0.012058355,0.002000461
190.0574784,0,0.002439327,0.010255408,0.004086753,0
191.0346841,0,0.002947427,0.00398552,0.002377708,0
192.0456464,0,0.002945759,0.016861724,0.01403426,0
193.0170456,0,0.006905968,0,0,0
199.0462742,0,0.001241393,0.006548952,0.009486745,0.00190359
200.0504526,0,0.009015124,0.035397194,0.019227684,0.004012202
201.0543771,0.013048238,0.124935295,0.08094993,0.045815007,0.011064735
202.024578,0,0,0,0.002551038,0
203.0334376,0,0.027226437,0.096380507,0.054849248,0.01567528
204.0420087,0,0.003148272,0.004751473,0,0
205.0544827,0.004079207,0.035128958,0.016564251,0.007333692,0.001992709
211.0437578,0,0.00665968,0.008124627,0.004613717,0
212.0420234,0,0,0.002428971,0,0
213.0598184,0,0.011739252,0.010112287,0.003055908,0
215.0423254,0,0.007027339,0.004319093,0.003248104,0
216.0413452,0,0.003087466,0.008089159,0.00560002,0
217.0542365,0,0.015218065,0.05240133,0.030863559,0.005564374
218.0651529,0,0.006752586,0.014095083,0.004779314,0
219.0624543,0.004128676,0.042585726,0.015292092,0.008551077,0
223.0216962,0,0.005255035,0.002254635,0,0
227.0341255,0,0.002384535,0.012788173,0.012376881,0.003003269
228.0428224,0,0.014162417,0.039475735,0.023099401,0.009559083
229.0493032,0.027484976,0.187789766,0.143101177,0.079480528,0.021564684
231.028673,0,0.004051032,0.010947544,0.005307548,0
232.022298,0,0.00501798,0,0.00136088,0
233.0435003,0,0.006686583,0.001991852,0,0
239.0313096,0,0.018559208,0.011445185,0.005773704,0
245.0413485,0,0.013255695,0.045520869,0.024790459,0.004451674
246.0554032,0,0.015121906,0.009653584,0.003764512,0
247.0576811,0.033667095,0.089413518,0.031164171,0.018496624,0.005145164
255.0349238,0,0,0,0.002487383,0
256.0364806,0,0.007103641,0.011847961,0.015014735,0.004922993
257.0431442,0.06703387,0.215297332,0.109272692,0.064731702,0.02088269
267.029311,0,0.005379787,0,0,0
273.0326392,0,0.013984953,0.038087288,0.021077512,0.00446696
274.0494209,0.007405704,0.073452093,0.139493584,0.063736112,0.016043509
275.0567092,0.028122787,0.022881702,0.008363013,0.005332349,0
284.035224,0,0,0.004129793,0,0
285.0375073,0.031129602,0.068367519,0.056510775,0.028044655,0.006805774
286.0448725,0,0.004148383,0.002424438,0,0
300.0219883,0,0,0.001953237,0,0
301.0367564,0,0.025603695,0.070262619,0.035302957,0.0076408
