mz,8EV,10EV,15EV,20EV,25EV
110.0394111,0,0,0,0.002578036,0
111.0073353,0,0.00606548,0.005233859,0,0
115.0538948,0,0,0.00720449,0.008383652,0
121.0318475,0.005944966,0.022944927,0.017408325,0.016106192,0.002765362
123.0454518,0,0,0.009004178,0.008472015,0
124.0164413,0,0,0.005863652,0.008082268,0
126.0326038,0,0,0,0.004254408,0
134.0338294,0,0,0,0.004081573,0
137.0210029,0,0.024073623,0.046012698,0.04090288,0.009172216
149.0246807,0,0.007665176,0,0,0
150.0354241,0,0,0,0.004554562,0
153.0202211,0,0.040157926,0.109311823,0.072817386,0.015045101
155.0488005,0,0,0.010064086,0.005293591,0
163.0361853,0,0.0039908,0.005806706,0,0
165.0190285,0,0.033164712,0.022210215,0.012192059,0.002390327
173.0573511,0,0,0.007701936,0,0
183.0296699,0,0.010411216,0.008844712,0.004736264,0
187.0375355,0,0,0.002931541,0.003452798,0
194.0263192,0,0,0.007967378,0,0
195.0273564,0,0.004644578,0,0,0
200.0489882,0,0,0.010333783,0.00480134,0
201.0543007,0,0.010995474,0.018673831,0.006835383,0
217.0512905,0,0,0.012090725,0.010179666,0
228.0383374,0,0.004714761,0.025395493,0.015977413,0
229.0492615,0.008224704,0.065334489,0.066307248,0.042367484,0.008097661
245.0490021,0,0,0.021237642,0.016555573,0
246.0446177,0,0,0.005411707,0,0
247.0545808,0,0.014952403,0.004573388,0,0
256.0458884,0,0,0.003463935,0.004346842,0
257.0447118,0.006967246,0.052798892,0.036183688,0.018408945,0.003479959
273.0358973,0,0,0.02935728,0.01713974,0
274.0413243,0,0.023782178,0.070450776,0.028170442,0
275.0616084,0.06477401,0.04203022,0.010784046,0.006363289,0
285.0458192,0.003154606,0.02254568,0.017888965,0.00766094,0
301.0351134,0,0.011086216,0.048877835,0.021520619,0.004615487
