Mass,10EV,15EV,20EV,25EV
347.0966637,0.000483519,0.058942446,0.028335121,0.002813583
335.092025,0.001228132,0.000844452,0.000156671,0
333.0799368,0.000527777,0.007769824,0.000678583,0
331.0971002,0,0.001750743,0,0
329.0844831,0,0.004183827,0.000610723,0
319.0971994,0.000397122,0.005253614,0.000642239,0
317.0852553,0.000166266,0.020572449,0.011040506,0.000681775
305.0847498,0.000995022,0.007010763,0.001241798,0
301.0918583,3.00E-05,0.003020552,0.000485499,0
291.0698282,1.30E-05,0.00276952,0,0
289.0858475,9.36E-05,0.001951435,0.000396444,0
287.0709549,0.000113917,0.003922109,0.001155174,0.000101802
275.0742203,0.001036603,0.026370743,0.015558116,0.000327486
274.0640298,0.000182633,0.003932636,0.000269132,0
273.0600027,0.000131889,0.00869699,0.001395876,0
261.058987,0.000625628,0.005934652,0.000591201,0
259.0786848,0.024835917,0.123378334,0.066336904,0.011506828
257.0660597,0.000164809,0.015884352,0.009913381,0
249.0567508,8.52E-05,0.001902211,0.003024292,0
245.063953,0.009672807,0.149007313,0.098122572,0.019174263
244.0566819,0.005123152,0.010424626,0.004296954,0
231.049299,0.041678187,0.174546334,0.187807867,0.05755059
218.0407907,0.002615379,0.0065291,0.001483437,0
203.0533788,0.005573058,0.079481031,0.065250384,0.01474569
201.0380629,0.020239939,0.104084506,0.061249207,0.013353478
187.057983,0.005265422,0.004410126,0.00065517,0
186.0503655,0.002741077,0.006598702,0.005365154,0
185.0424764,0.005429634,0.070426998,0.046549581,0.009018091
173.0432681,0.000128204,0.001673091,0.006273875,0
171.0263633,0.000145699,0.018019351,0.01334392,0.001334879
169.0469222,1.14E-05,0.018665808,0.012104915,0.000390562
168.0393577,0.000207168,0.004646777,0.002195087,0
167.0304222,1.68E-05,0.003438165,0.000445322,0
157.0472306,0.000264434,0.010760124,0.008491619,0.000141699
156.0393749,0.001486917,0.008325639,0.006244,0.000155823
155.0315105,0.000102268,0.010546672,0.00818678,0.000364347
145.0485671,0,6.50E-05,0.004517235,5.41E-05
143.0312171,4.15E-05,0.00177986,0.001644928,0
141.0503977,2.11E-05,0.001762831,0.000231507,0
141.0164421,0,0.002648743,0.000302373,0
140.043644,5.14E-06,0.000100815,0,0
139.0363355,0.000179127,0.007142448,0.002614331,0
127.0376046,1.96E-05,0.005744642,0.011009879,0.002328664
125.0202316,2.05E-05,0.004534331,0.003143443,9.80E-05
113.0207809,7.82E-05,0.007921742,0.005758242,0.000129542
112.0115031,0,0.001129094,0.000470548,0.000353915
