"mz","8EV","10EV","15EV","20EV","25EV"
109.03083015,0,0,0.00250294,0.0038656795,0
112.0116245,0,0,0,0.000642513,0.0011621585
115.054568,0,0,0.0011936615,0.0045570195,0.0012812995
121.02926935,0,0.0039685935,0.010288424,0.009489204,0.003527655
124.01626705,0,0,0.0021746965,0.0052179235,0
126.0359003,0,0,0.0062732635,0.0046387115,0.000733452
133.0282059,0,0,0,0.0012627235,0
137.0632616,0,0,0.006966892,0.0064023705,0
139.0420642,0.0038149185,0.0125081625,0.005240376,0.0037756725,0
141.0176726,0,0,0,0.0010581465,0
147.0460787,0,0,0,0.001019988,0
149.0265827,0,0,0.0008778665,0.0012506655,0
151.04152355,0,0.0082807195,0.0123091175,0.012420956,0.002975499
153.0165195,0.0057129755,0.0480232085,0.106683406,0.0710693235,0.0231102455
161.0560978,0,0,0,0.001098794,0
163.0375991,0,0.001750941,0.000832785,0,0
164.04582055,0,0,0.003810887,0,0
165.01683845,0,0.012401096,0.005397634,0.004594489,0
168.04113565,0,0,0.001688471,0,0
170.02229485,0,0,0.0041039775,0.0039268395,0
171.04031135,0,0,0.000930479,0.0050439735,0.0007883825
189.0547872,0,0,0.001620668,0.0040741025,0
194.0264725,0,0,0.004554806,0.0011825365,0
199.0398566,0,0,0.000970483,0.002780093,0
200.04479795,0,0,0.005737672,0.0037921565,0
201.0564411,0,0.002119671,0.005114123,0.0039732385,0
203.03428335,0,0,0.009108796,0.00471168,0
217.05415765,0,0.003432227,0.0316364485,0.025605691,0.006134243
218.05936795,0,0,0.0048184595,0.0011877395,0
219.03206935,0,0,0.0033464805,0.002869718,0.00059104
227.03785915,0,0,0.001856896,0.0028592485,0.000794388
228.04294835,0,0.0052046245,0.0230979895,0.0109497095,0.0022702565
229.05322545,0.000896905,0.019212756,0.028924975,0.018498846,0.0048112855
230.0469761,0,0,0.00103314,0,0
231.0305452,0,0,0.0039071875,0.0017208575,0
243.0660435,0,0.0023059255,0,0,0
244.042391,0,0,0,0.002588179,0
245.04448735,0,0.009311242,0.0507326405,0.0331035155,0.014508131
246.04786795,0,0.0070128375,0.011533247,0.005655585,0
256.0367129,0,0.0018870125,0.0037392045,0,0
257.04189065,0.003023346,0.0262032925,0.022761087,0.013498033,0.003079032
258.0561261,0,0,0.002547794,0.0015365495,0
261.08150175,0,0.002633087,0,0,0
269.0438659,0,0,0.001284817,0.0007738335,0
271.0643933,0,0.003620344,0.003134126,0.0008502065,0
273.0416408,0,0.0183561035,0.0424195195,0.02726657,0.010717933
274.04391615,0.0012645805,0.047618325,0.029628448,0.0176459445,0.0049004365
284.0313039,0,0.00281944,0.0021585025,0,0
285.0444267,0.018507833,0.0662348805,0.034266901,0.025027054,0.006828068
286.05271925,0,0.0024053405,0.001940783,0.0009128075,0
287.056977,0,0.0036644955,0.019587568,0.0139082245,0.003229385
288.07131605,0,0.0072538115,0.031264632,0.0126463065,0.003218898
299.0579211,0,0,0.001854408,0,0.0009751935
301.03929335,0,0.0097741485,0.0327338135,0.0259660995,0.0106647555
302.0499008,0.057192191,0.269122308,0.115210323,0.0864210215,0.0288270575
