mz,8EV,10EV,15EV,20EV,25EV
103.0526012,0,0,0.001887725,0.001009907,0
107.0489679,0.114884609,0.086272351,0.083112878,0.055104252,0.014963656
108.0200568,0,0.001335259,0.020826019,0.020354233,0.003374816
109.0281928,0.001835616,0.007500692,0.007848389,0.001355001,0
110.0368973,0,0,0.003245091,0.0166214,0.012225
111.0429142,0.001903446,0.012778214,0.008039342,0.003958393,0
115.0522622,0,0.004948716,0.011433909,0.011084899,0.000896225
117.0336903,0.014548765,0.031049969,0.013580005,0.01003106,0
118.043531,0,0.001686843,0.014995738,0.011517768,0.001163934
119.0480814,0.044991087,0.077522893,0.097534834,0.075789661,0.026361629
120.0567784,0.002721411,0.06018713,0.118707835,0.105926128,0.042066601
121.0289586,0,0.011966612,0.02813466,0.016317256,0
123.0424936,0.007680773,0.024492357,0.015184307,0.010030612,0
127.0387119,0.00551218,0.007939655,0.00836571,0.002776455,0
128.0585628,0,0,0.004147849,0.007851028,0
128.5404381,0,0,0.018153901,0.076539203,0.023772228
131.0504626,0,0,0.001304914,0.001126504,0
134.0350306,0,0,0.005807426,0.005165896,0
135.042792,0.021551642,0.026404633,0.012977625,0.007501157,0
136.0139552,0,0,0.002768685,0.001184965,0
137.0231691,0.315470703,0.420467082,0.396588574,0.345655502,0.148613862
139.0552293,0,0,0.005031232,0.006341703,0
141.0687536,0,0.006480625,0.007614837,0.003633543,0
146.0328829,0,0,0.001784294,0,0
147.0441242,0.222565035,0.305369097,0.239222803,0.188694132,0.069168034
150.030321,0,0.036896993,0.058059522,0.03070315,0.00537224
152.0607669,0,0.001418656,0.015977909,0.022002592,0.005333972
153.0645842,0,0.005107136,0.015251414,0.015495451,0.001316565
154.0281146,0,0,0.004905209,0,0
155.0338941,0.019805606,0.038036879,0.01958808,0.01412721,0
157.0606281,0,0,0.001496043,0.006302064,0
159.0810513,0,0.001036939,0,0,0
162.0304179,0,0,0.017749819,0.008126869,0
163.0404253,0.036712677,0.062862794,0.100410263,0.060704388,0.016128665
165.0673352,0.003336965,0.030876183,0.035996199,0.025853363,0.004087614
168.0583344,0,0,0.004843371,0.003051497,0
169.0634315,0,0.007693211,0.011048489,0.010896066,0
171.0798745,0.00147525,0.007783791,0.001357852,0.001571471,0
173.0601948,0,0.003042153,0.003364671,0,0
181.0653645,0,0,0.021890371,0.029286714,0.005820324
182.073994,0,0,0.003300245,0,0
183.0802985,0.00482796,0.020046441,0.010213797,0.003943608,0
185.0608459,0,0,0,0.001017661,0
187.0752142,0.007781025,0.014143856,0.00572557,0,0
197.0602658,0.001397035,0.012383005,0.010381197,0.006573943,0
199.0808463,0,0,0.003794866,0.004120075,0
210.0675006,0,0.006363974,0.018826154,0.008947041,0
211.074615,0.060760203,0.07264159,0.036946864,0.027237242,0.006818027
213.0607244,0,0,0.008990484,0.005184946,0
215.0690752,0.01186842,0.00887001,0.002611907,0,0
221.0601501,0,0,0.002863334,0,0
226.0595098,0,0,0.004938563,0,0
227.0640782,0,0,0.011577525,0.00727729,0
228.07921,0,0,0.010518268,0.001523669,0
229.0855149,0.03695272,0.01469233,0.006743642,0,0
237.0560533,0,0,0.005302326,0.000951533,0
238.0592511,0,0,0.005139376,0,0
239.0683349,0.092806249,0.081422929,0.066290317,0.040985421,0.011727997
242.0608967,0.042957678,0.040485896,0.016264987,0.013166837,0.000969497
254.0619856,0,0,0.001155961,0,0
