Mass,8EV,10EV,15EV,20EV,25EV
240.0778352,0.00245879,0.005783254,0,0,0
239.0707301,0.004242857,0.010702837,0.009676385,0.004105789,0
229.084817,0.021067629,0,0,0.002078065,0
199.0750075,0.004869263,0,0.004648639,0,0
197.0589571,0,0,0.013769217,0,0
181.0652772,0,0,0.015831116,0.009435274,0
165.0696152,0,0.014433529,0.015458517,0,0
163.0399307,0.256623553,0.219631541,0.179309798,0.13884941,0.041629934
153.0690776,0,0,0,0.002612263,0
152.0620448,0,0,0.017554992,0.016021049,0
137.0239261,0.089949673,0.189521953,0.245034757,0.167832848,0.047606392
136.0159493,0,0,0.002562532,0.024881146,0.009003953
135.0441561,0.079181097,0.08953026,0.067349098,0.052754465,0.013640878
134.0364454,0,0,0.024245071,0.015181755,0
123.0448106,0.271042909,0.274670021,0.196513904,0.15078857,0.04882231
121.0286339,0.002148716,0.019298332,0.040734133,0.01471306,0.001552851
120.0569761,0,0,0.058130376,0.046171409,0.009769947
119.0492413,0.002518428,0.01112832,0.020030274,0.021766609,0
115.054958,0,0,0,0.003910226,0
109.0282125,0,0,0.004694284,0,0
108.0206232,0,0,0.014008754,0.020349115,0.001464459
107.0500498,0.228113675,0.225944701,0.206733473,0.130939078,0.038270056
105.0340886,0,0,0.007744478,0.002163892,0
