mz,8EV,10EV,15EV,20EV,25EV
137.0239194,0.477756431,0.808137133,0.851947919,0.518119952,0.092604871
147.0445512,0.18594576,0.340517228,0.233928328,0.115160871,0
163.0390163,0,0,0.028823645,0,0
211.077356,0.019117539,0.013789589,0,0,0
215.0696738,0.13666095,0.054852038,0,0,0
239.0725989,0.053866412,0,0,0,0
255.0642894,0,0,0.09188771,0,0
256.0746482,0,0.146526799,0.154514385,0.134311113,0
257.0837308,4.119183979,3.601069748,3.719947312,3.099283798,1.917666534
407.6460039,0.193103401,0.159892346,0.126304295,0.135773247,0.137097457
