mz,8EV,10EV,15EV,20EV,25EV
115.0525016,0,0,0,0.001433463,0
118.0437403,0,0,0.002337535,0.008729121,0.001485603
119.0493814,0,0,0.010223747,0.00695749,0
121.0281054,0,0.013972908,0.04396547,0.041030194,0.007907033
137.0246308,0,0,0,0.001223967,0
153.0205783,0,0,0.002172492,0.004150116,0
163.0406956,0,0,0.009194556,0.008775728,0
165.0222554,0,0.003473621,0.019217782,0.015776869,0.000771788
177.0168301,0,0,0.00179112,0.005317252,0
181.0113327,0,0,0.022930256,0.03216424,0.005009878
183.028613,0,0.000834223,0.009890533,0.006411007,0
197.0069581,0,0,0.004947075,0.00674527,0
207.5509929,0,0,0.002597378,0.036969705,0.008381123
213.0551275,0,0,0.00421513,0.003574173,0
216.556931,0,0,0,0.00157571,0
217.0471093,0,0.003446291,0,0,0
242.0609419,0,0,0.004916926,0.003305752,0
254.0602281,0,0,0.007919948,0.004275356,0
255.0691393,0,0.001920248,0.012904188,0.014261434,0
256.0755999,0,0.000920512,0.012954423,0.012715988,0.000886911
259.0599029,0,0.003379234,0,0,0
261.04322,0,0.001171271,0,0,0
267.0593243,0,0,0.000955503,0.001360313,0
269.0433767,0,0,0,0.003060262,0
270.0545672,0,0.004341626,0.019272709,0.018560225,0.000928093
271.0558683,0,0.017573768,0.015318986,0.014622526,0.000647067
273.0409116,0,0,0,0.002829117,0
282.0565475,0,0,0.008824048,0.00974292,0
283.0617904,0.050769394,0.183453031,0.179232158,0.155373395,0.028630735
284.0674099,0.000769775,0.047489783,0.091380064,0.077315739,0.012718115
285.0414622,0,0,0,0.002373229,0
294.0489325,0,0,0.00190212,0.00653244,0
295.0618256,0.005240547,0.040553005,0.064041822,0.050597227,0.007463762
297.056823,0,0.00364057,0.016716712,0.012562403,0
298.0437564,0,0.007013115,0.042023263,0.048246795,0.004716022
299.0536902,0.007487788,0.136424071,0.299940206,0.301935274,0.089434467
307.0587328,0,0,0.001422868,0,0
309.0755314,0,0.001569963,0.003693158,0,0
311.0593988,0,0.010831967,0.015799711,0.01411666,0
312.0612034,0,0.031239882,0.05731606,0.047170584,0.006446064
313.0699266,0.082308054,0.311205226,0.286061027,0.221655747,0.052119502
315.0561275,0,0,0.012072465,0.033397184,0.005446148
323.0878436,0,0.022092176,0.008679481,0,0
325.0735598,0,0.008101577,0.016640515,0.011483762,0
336.0667381,0,0.003226013,0.008459057,0.001454964,0
337.0690645,0.014005991,0.098412941,0.038576321,0.028516823,0.004140548
341.0662804,0,0,0.010017864,0.009209929,0
343.0805662,0.003483263,0.044142002,0.024962188,0.01702492,0.001071782
351.0811302,0,0.023420304,0.008404721,0.002597856,0
355.0864302,0,0.002202396,0.005821168,0.003350823,0
367.0827891,0.013896604,0.059654269,0.021553382,0.019308852,0.001273329
379.0777925,0.006241246,0.059891998,0.019907046,0.015289694,0
396.0790791,0,0.001466099,0,0,0
397.0960734,0.046118645,0.212147132,0.074951455,0.056813883,0.010763144
414.096699,0,0.013477449,0.019230384,0.009413945,0
415.1028973,0.200098039,0.300850213,0.110700413,0.089074997,0.011841116
