mz,8EV,10EV,15EV,20EV,25EV
102.0461663,0,0,0.002881617,0.001237424,0
103.0544572,0,0,0.003976983,0.001937107,0
109.0275247,0,0,0,0.003185614,0
111.0056584,0,0,0.001642216,0.002787651,0
115.0537254,0,0.004832048,0.023717843,0.016012284,0.001174606
118.0406134,0,0,0.02292003,0.014567939,0.002612004
119.0472879,0,0.003705042,0.029646862,0.015593056,0.000888645
121.0292309,0,0.007151216,0.03028223,0.020802267,0.002309536
123.0058522,0,0,0.014663322,0.012234013,0
124.0148077,0,0.001519092,0.045998718,0.033477521,0.00260782
126.0475553,0,0,0.001065096,0,0
127.0401443,0,0,0.014188304,0.034326309,0.007388998
128.0599301,0,0,0.0148347,0.011835962,0
129.0660376,0,0,0,0.001015617,0
131.048599,0,0,0.007803917,0.004402481,0
135.5287472,0,0,0,0.005911077,0
137.0236108,0,0,0.002623006,0,0
139.0534331,0,0,0.014166706,0.011756353,0
141.0694942,0,0.001046291,0.007081825,0.002618968,0
145.0514859,0,0,0.04905876,0.077874919,0.015061769
150.0342943,0,0,0.001148393,0,0
152.0114845,0,0.001138705,0.007156216,0.004493704,0
153.0176262,0.000683663,0.07429147,0.171807773,0.120147872,0.02475871
155.048662,0,0,0.004202829,0,0
157.0648257,0,0.00063653,0.013426871,0.00448852,0
160.0587791,0,0,0.001014235,0,0
163.054611,0,0,0.008111381,0.004151757,0
168.0577735,0,0,0.006661372,0.004165497,0
169.0634982,0,0,0.009068274,0.002367305,0
170.0197191,0,0.003355709,0.017547078,0.010207194,0
171.0414634,0,0.004633838,0.015377573,0.009758761,0
184.0475999,0,0,0.003304581,0,0
185.0626758,0,0,0.009883447,0.006314816,0
187.0377763,0,0.001714375,0.007923597,0.00340661,0
197.0564148,0,0.002746169,0.018030826,0.009735091,0
201.0543987,0,0.006523797,0.002918859,0,0
212.0487454,0,0,0.003422579,0.001161751,0
213.0537008,0.006096697,0.057983789,0.074369709,0.039166022,0.005517935
215.0678915,0,0.007406443,0.003054699,0,0
225.0573239,0,0.003242588,0.003304088,0.002020489,0
229.0471565,0,0,0.001546275,0,0
240.04243,0,0,0.003600939,0,0
241.0522898,0.132174842,0.113039068,0.119109529,0.072418613,0.011140125
242.0593134,0.112888998,0.287199792,0.289881488,0.231223345,0.059363947
253.0442168,0,0.011236491,0.008246624,0.003019908,0
255.0678872,0,0,0.004181773,0.000902001,0
257.0401867,0,0,0.003974909,0,0
259.057646,0,0,0,0.008716851,0
269.0451438,0.188667828,0.152628561,0.12563351,0.081618185,0.017041162
270.0594081,0.414847105,0.501700168,0.541072969,0.425484786,0.173005625
271.0641621,0.534564481,0.719593235,0.623466746,0.478633756,0.202569559
283.0573638,0,0.009552478,0.039270974,0.027360571,0.004924006
285.0416929,0,0,0.016247529,0.007648567,0
286.0427043,0,0,0.004831909,0.009324226,0
287.048199,0.000934716,0,0,0.001010021,0
295.0590031,0.018980502,0.011976109,0.00916849,0.00225205,0
296.0734556,0,0,0.005871905,0.002445976,0
297.0781253,0,0.00100517,0.01518558,0.007468998,0
299.0553942,0,0.007902134,0.074891859,0.056254628,0.014345255
313.0721483,0,0.010056183,0.021714511,0.021338924,0.002851767
343.0826723,0,0,0.003402833,0,0
397.0884099,0.013490801,0.003840983,0.002586029,0,0
415.0954864,0.001336515,0,0,0,0
