mz,8EV,10EV,15EV,20EV,25EV
102.0444032,0,0,0.01471539,0.018141006,0.004464682
103.0541801,0,0.01464999,0.060514971,0.034836379,0
105.0313646,0,0.01096218,0.037336567,0.022246084,0
109.0349285,0,0,0,0.00440205,0
112.011757,0,0,0.014331675,0.011576799,0
115.0549673,0,0.009857643,0.046358684,0.023656134,0
121.0284897,0,0,0.004502231,0,0
123.0039556,0,0.034169842,0.124237357,0.067761421,0.010286004
126.0444684,0,0,0.002428911,0.002862325,0
127.0360139,0,0,0,0.033753246,0.005352868
128.0591814,0,0.005175357,0.017561546,0.009872089,0
131.0489009,0,0,0.007110367,0.002804107,0
139.0016551,0,0.005709876,0.025693762,0.013520601,0
140.0114951,0,0,0.037901613,0.031609182,0.003277646
141.0156754,0,0,0,0.011773048,0
144.0568062,0,0,0.002579958,0,0
145.0482033,0,0,0.040335783,0.07453801,0.011562476
155.0502503,0,0,0.011039305,0.005036612,0
163.0600165,0,0,0.00555437,0.005903006,0
168.0087005,0,0.070612352,0.114040005,0.069082879,0.010879426
169.0129229,0,0.023613051,0.052184548,0.027689622,0
171.041885,0,0,0.005728753,0,0
179.0491247,0,0,0.004934973,0,0
183.0491272,0,0,0.002423924,0,0
185.0083486,0,0.006330767,0,0,0
186.0112597,0,0.052426463,0.13332378,0.093862699,0.012201553
194.0160419,0,0,0.003314634,0,0
195.0416758,0,0,0.002564759,0,0
197.0583851,0,0.006232736,0.009829452,0.004250073,0
213.044233,0,0,0.005629846,0.004020617,0
225.0556894,0.036141467,0.188793453,0.09538035,0.04256576,0.006199821
240.0536799,0,0,0,0.001377789,0
241.0512605,0.006642411,0.017803928,0.051748399,0.040805069,0.005614579
242.0509096,0,0.015384076,0.022758628,0.014790558,0
253.0540979,0.026431686,0.07939288,0.051038416,0.029822211,0.004007342
254.0517392,0,0,0.004007341,0.003400391,0
255.0623044,0,0,0,0.002057001,0
268.0674554,0,0,0,0.002440933,0
269.0411617,0.02919105,0.042418346,0.057247975,0.052692592,0.009280787
270.0553021,0.334513902,0.462126941,0.527458988,0.423788215,0.16076737
271.0713502,0.722364888,0.812593072,0.762169299,0.574901592,0.316963858
283.0629107,0,0,0.019664344,0.011163996,0
296.0659571,0,0,0.010187097,0.004385529,0
297.0689261,0,0,0.008128968,0.004040563,0
299.0511269,0,0.003778116,0.041972763,0.024205199,0.005260309
302.0444545,0,0,0.009856496,0.005085261,0
313.0746521,0,0,0.014385933,0.00822704,0
314.0799394,0,0,0.003486589,0.001541325,0
359.0880431,0,0,0.003172717,0.001755743,0
