"mz","8EV","10EV","15EV","20EV","25EV"
105.03070885,0,0,0.002432484,0.0055160025,0.0013343245
106.0762767,0,0,0,0,0.001457631
107.0485352,0,0,0,0.0048332395,0
111.04102325,0,0.003140629,0.002170022,0.0028390425,0
115.0524368,0,0,0.0018593055,0.0024077345,0.0014797575
121.02874395,0,0.013243531,0.029525551,0.034403898,0.005915098
124.0160344,0,0,0,0.003932369,0
128.0612876,0,0,0,0.0044485595,0.0012393445
129.05350405,0.082749544,0.0601534885,0.050156869,0.0561772075,0.0196048965
134.0367389,0,0,0.001932885,0,0
137.02518815,0,0.003064049,0.007586783,0.005874837,0
139.0549086,0,0,0.001296692,0,0
143.5303605,0,0,0,0.006349767,0
147.06356895,0.0333382185,0.022932969,0.0203026295,0.018630639,0.0056944675
153.0131484,0.0013568515,0.020726483,0.0383355055,0.0295600085,0.0052131095
157.06330225,0,0.0014095545,0.0042382515,0.002239439,0
165.01674205,0.002528359,0.0253459815,0.0091246745,0.0068025165,0
183.02729215,0,0.0054195005,0,0,0
184.0567759,0,0,0.00670814,0.0056462565,0
185.0590159,0,0.002342191,0,0,0
194.0176204,0,0.0022561645,0,0,0
201.0496265,0,0,0.0016908845,0,0
212.04658925,0,0,0.006663363,0.004451601,0
213.05223315,0,0.0178464675,0.0234062425,0.016130035,0.0017494625
229.05187525,0,0.0048543065,0.022933868,0.0252773265,0.002997868
230.0553758,0,0,0.0058952105,0.001779529,0
231.0639074,0,0.002067947,0,0,0
241.0475607,0,0.014139813,0.004352754,0.005129327,0
257.0443838,0.014779024,0.0214236695,0.036556437,0.0319065445,0.0054000285
258.0538155,0.003229247,0.0317815435,0.0625507515,0.0429849295,0.0070164475
259.0587544,0,0.0021654095,0,0,0
269.0450538,0,0.0030980065,0.002328426,0,0
285.0355886,0.015521887,0.0417079565,0.0627809425,0.0593006615,0.0102655
286.04709925,0.20998986,0.309187936,0.3923694865,0.3323109915,0.1000777655
287.0604015,1.0353135885,0.9520117415,0.875608537,0.787682723,0.611328994
315.048739,0,0,0.0021076385,0,0
329.061412,0,0,0.0011039645,0,0
397.10111315,0.018521463,0.0084450075,0.004516244,0.002544929,0
