Mass,10EV,15EV,20EV,25EV
347.0953703,0,0.03127424,0.015355995,0
333.0782705,0,0.005530268,0.001001662,0
317.084658,0,0.016184717,0.008178446,0
305.0866162,0,0.000686785,0.000282784,0
291.0686045,0,0.001317112,0,0
275.0727615,5.61E-05,0.021500749,0.0111078,0
273.0581398,0,0.00260741,0,0
261.0587138,0.003079617,0.014004182,0.006590075,0
259.0773157,0.005907403,0.060638468,0.03327386,0.003052035
257.0630366,0,0.006952169,0.006427776,0
245.0634044,0.002254056,0.087337463,0.054986055,0.009842014
244.0554532,0.000674118,0.005985172,0.002020061,0
231.0484047,0.019392074,0.135770926,0.13089778,0.030998794
225.0484782,0,0,4.78E-05,0.000439912
218.0396837,0.004796365,0.015800845,0.008004696,0.000611935
203.0527365,0.005109921,0.054944402,0.049542972,0.010289129
201.0374393,0.011696056,0.090994925,0.064460212,0.0109542
187.0578046,7.47E-05,0.000711996,0,0
186.050181,0.002900911,0.01083511,0.005334925,0
185.0426568,0.002920029,0.080575941,0.057997708,0.011450197
184.033681,0.000541941,0.004316315,0.00237551,0
173.0426096,0,0.000194685,0.002111293,0
171.0265615,0,0.015059054,0.020926116,0.003951211
169.0470558,0,0.024573904,0.01579677,0.001561509
168.0401622,0,0.00078923,0.000294135,0
167.0333489,0,0.001309162,0.000673457,0
163.0586725,0,0,0.000669102,0
157.0464723,0,0.004132976,0.003150624,0
156.0394858,0,0.000494476,7.25E-05,0
155.0313709,0,0.006109088,0.004318957,0
145.0497424,0,0,0.011425686,0.001756611
141.0520784,0,0.000409876,0.000767047,0
140.044555,0,0.000566112,0,0
139.0371113,0,0.003288171,0.001593978,0
127.0373732,0,0.00343928,0.01215809,0.003093734
125.0209841,0,0.003014824,0.002087914,0
113.0207323,0,0.007283573,0.006184351,0
112.0114811,0,0.005625073,0.004403777,0.001062411
111.0046504,0,0.000469318,0.000192098,0
