mz,8EV,10EV,15EV,20EV,25EV
107.0490336,0.015565825,0.017699486,0.04149759,0.018846008,0.005456953
127.039054,0.001405398,0.004496143,0.008967427,0.017110659,0.004189854
129.0172731,0,0.004163252,0.002953363,0.000533264,0
133.064958,0.000530446,0.001987171,0,0,0
136.5374481,0,0,0.001939843,0.013078015,0.003218724
137.0244384,0,0.006232807,0.013076282,0.006661701,0.000435422
145.0599966,0.002683874,0.004815167,0.02078051,0.040143776,0.012191956
147.044904,0.104070775,0.16976901,0.169302069,0.102666333,0.028240376
151.0399569,0.001908315,0.005631926,0.004875264,0.001937834,0
152.0125624,0,0.004119829,0.005530103,0.00429041,0
153.0237239,0.254246448,0.321634895,0.336652197,0.235325727,0.093593509
157.0660579,0,0.003012101,0.003099331,0.000682433,0
161.0604659,0.003685518,0.004279503,0.002505652,0,0
163.0744507,0.00401443,0,0.005795996,0.005019778,0
165.0203368,0,0,0.001986861,0.00063877,0
166.0248117,0.003519166,0.03289369,0.067331109,0.041234616,0.010080331
167.0350684,0.004795309,0.004111582,0.001428975,0,0
170.0223655,0,0.011773456,0.017464278,0.010521566,0.002508696
171.0316655,0.091980289,0.112258366,0.096523479,0.051698391,0.015475237
178.0249349,0,0,0.00842366,0.004783151,0
179.0348557,0.006941004,0.019767803,0.046365561,0.030955043,0.008712273
185.0599039,0.011754759,0.007424642,0.002049965,0,0
189.0553015,0.017409435,0.015608508,0.008667483,0.00392561,0
195.0272662,0.002506969,0.004947336,0.006803465,0.004820226,0
213.0586424,0.01727182,0.009802197,0.005517577,0.001820984,0
227.0721243,0.007747812,0.004079345,0.000705588,0.000512721,0
229.0478124,0.003089618,0.003164693,0.005026868,0.004136596,0
231.066041,0.047958777,0.031593444,0.016958797,0.007723289,0.000671512
243.0631246,0,0,0.002025365,0.003531517,0
244.07435,0,0,0.00270829,0.000824413,0
245.0806435,0.008275102,0.004169552,0.000454738,0,0
254.0598903,0,0.003593244,0.012220993,0.007650281,0.001114534
255.0658529,0.013107961,0.011979294,0.014776969,0.006869625,0.000618939
270.0512731,0,0,0.005030281,0.001554797,0
271.0621157,0.000536175,0.035887535,0.084178616,0.060084553,0.015146804
272.0671959,0.012487094,0.139399779,0.19214986,0.191924519,0.056880538
273.0891586,0.810025124,0.735594321,0.721138771,0.569152933,0.499320133
285.0769028,0,0,0.003865895,0.002905478,0
288.0634895,0,0,0.005335555,0.00324629,0
301.0730485,0,0.000502491,0.015945445,0.011235934,0.001706722
315.0748499,0.009227296,0.004149764,0.009839133,0.006892206,0.002484192
417.1184849,0.003534308,0.00281335,0.00173538,0.003512971,0.004794961
