Mass,10EV,15EV,20EV,25EV
109.0276292,0,0,0.00038717,0
111.0050336,0,0.001844923,0.000780693,0
112.0120122,0,0.002453405,0.002336802,0.000161532
113.020389,0,0.010481948,0.008715109,0.000632443
123.0407509,0,0.000743242,0.000343649,0
125.0211033,0,0.002540019,0.00169524,0
127.0377318,0,0.00348689,0.007600339,0.001316251
138.02845,0,0.000736959,0,0
139.0363839,0,0.006108047,0.003415096,0
141.0171051,0,0.002646559,0.00166874,0
143.0319702,0,0.000873452,0.000899199,0
145.0494017,0,0,0.004890595,0.000142762
155.0317785,0,0.009295094,0.006335889,0.000179593
156.039665,0,0.003452228,0.001800583,0
157.0477019,0,0.005786705,0.003264833,0
167.0317916,0,0.00214761,0.00233992,0
168.0389223,0,0.003631214,0.001679712,0
169.0473184,0,0.015802911,0.011639889,0.000899492
171.0268199,0,0.018335579,0.013229514,0.001438312
173.0448406,0,0.000281601,0.00346683,0
184.0347015,0,0.00294216,0.001009749,0
185.0433122,0.002519561,0.07411584,0.051164554,0.010152598
186.0505645,0.000159123,0.003495961,0.002216414,8.39E-05
187.0574697,0.001478334,0.001192234,0.000377062,0
201.0383036,0.011477251,0.110833608,0.09127303,0.01763035
202.0450322,0,0.000730336,0.001569442,0
203.0534956,0.001922378,0.076218381,0.065490921,0.013835259
213.0352288,0,0.000716094,7.56E-05,0
218.0426618,0.00027279,0.00400746,0.002398723,0
219.0481893,0,0.000950591,0.000244201,0
227.0514499,0,0.000514196,7.43E-05,0.000110532
229.0313931,0,0.000280093,0.000407943,0
231.0497555,0.028172962,0.183768192,0.184113046,0.057032491
244.055714,0,0.003029826,0.001061701,0
245.064846,0.007088516,0.167249141,0.11692684,0.021506051
249.0571195,0,0.000947891,0.002160925,0
257.0634433,0,0.012465646,0.007401274,0
259.0791663,0.020536128,0.132578888,0.071541826,0.012615689
261.0588046,0,0.003699481,0.001195653,0
271.0787842,0,0.001697157,0.000442164,0
273.0566506,0,0.004731755,0.00095202,0
274.0680112,0,0.005070007,0.000476464,0
275.0747648,0,0.025490126,0.01483568,0.001207024
287.0763153,0,0.005817918,0.001513519,0
289.0894869,0,0.00274746,0.000604305,0
291.0698939,0,0.000738445,0,0
301.0908264,0,0.002081589,0.000257545,0
303.0712729,0,0.000918674,0,0
305.0825742,9.86E-05,0.00620951,0.001425258,0
317.0859252,0,0.021638776,0.010325844,4.66E-05
319.1017259,0,0.007798645,0.002044483,0
329.0848196,0,0.004550693,0.002047274,0
331.1000074,0,0.001988778,4.95E-05,0
333.0797027,0,0.004954068,0.001396229,0
334.0851656,0,0.000718087,0,0
335.0978884,0,0.001086861,0,0
347.0966886,0,0.062309748,0.030273195,0.003171099
349.0754756,0.011384027,0.010840691,0.00696436,0
