mz,8EV,10EV,15EV,20EV,25EV
107.0472014,0.018603068,0.020099925,0.040297741,0.019892126,0.002013807
127.0390642,0,0.007256242,0.008941695,0.009119259,0.00048689
136.5374577,0,0,0.002454943,0.029629033,0.007214048
137.0221441,0,0.004085448,0.016332715,0.008770842,0
145.0529095,0.010122386,0.00616818,0.011650726,0.014850648,0.002886278
147.0449196,0.196628709,0.263066774,0.216819226,0.140247817,0.038143119
151.0375584,0.004610393,0.005799206,0.005555373,0.001238631,0
152.0104163,0,0.003490996,0.007143662,0.002226892,0
153.0186831,0.422334394,0.450074068,0.530772534,0.352840418,0.14264595
161.0600824,0.00271789,0.002718387,0,0,0
165.0181255,0,0.001021728,0.006001334,0.004115573,0
166.0278379,0.004381951,0.031476313,0.073026315,0.038453599,0.007637452
170.0226671,0,0.013234377,0.028974829,0.017078646,0.003135947
171.0299053,0.096410034,0.128149065,0.101454294,0.062466534,0.014200786
178.0260089,0,0,0.008112185,0.005160831,0
179.0327716,0.013581865,0.027654137,0.065966506,0.042511778,0.008829626
181.012247,0,0,0.006815816,0.003901837,0
183.0283681,0.001178264,0.002273033,0.008155281,0.005743911,0
185.0575623,0.010259621,0.003945596,0,0,0
189.0566671,0.022443035,0.016390059,0.010439968,0.007222541,0
194.0204254,0,0,0.002844198,0.001577185,0
195.0300233,0.03684604,0.049844739,0.04420399,0.026296724,0.00491894
213.0543237,0.021138418,0.011372454,0.004571817,0,0
219.0310979,0.010996969,0.010690274,0.004907678,0,0
227.0669047,0.009311551,0.00159373,0.001340125,0,0
229.0445857,0.003170173,0,0.005415801,0.002839663,0
231.068761,0.064811786,0.030312476,0.013135899,0.006994568,0
245.0818185,0.009014218,0.001099719,0,0,0
254.0567239,0,0.001540961,0.009067589,0.004202819,0
255.0674672,0.016705426,0.014797468,0.015229938,0.006570785,0
261.0387539,0.002966493,0.004405512,0.00221291,0,0
271.0593535,0.000812214,0.038354509,0.08868082,0.057732001,0.011564593
272.0700186,0.013692273,0.156809525,0.171365821,0.172945854,0.039864632
273.0859486,1.409666728,1.266003804,1.237949892,1.157285938,1.08755458
285.0735386,0.007790663,0.007624703,0.006846491,0.005375408,0
297.0720157,0.018031749,0.011272876,0.008405847,0.005919524,0.002002123
299.0635835,0,0,0,0.001785281,0.003085066
301.0722712,0,0,0.014836087,0.011924918,0.001442602
315.0827804,0.044742042,0.041180227,0.028828134,0.022175179,0.017284528
339.0857821,0.02154383,0.011685685,0.008682553,0.006809419,0.003569953
351.087083,0.003131322,0.00117479,0,0,0
381.1009116,0.006953286,0.003847189,0,0,0.001017989
399.1080581,0.018083349,0.007776284,0.006405665,0.005984902,0.008812307
417.1211445,0.059173121,0.043428641,0.037620684,0.040931819,0.055363923
