mz,8EV,10EV,15EV,20EV,25EV
133.0279878,0,0,0.001908789,0.004062861,0
134.0386999,0,0,0.001174976,0.00158586,0
137.0231065,0,0,0.001739849,0.001191461,0
141.0179155,0,0,0.006886753,0.003476203,0
148.0536597,0,0,0.002607143,0.003390075,0
149.0575993,0,0.001401633,0.005210719,0.002976261,0
151.0405135,0,0,0.005399517,0.004350976,0
153.0196799,0,0,0.002676903,0.003212606,0
156.5364828,0,0,0,0.003031617,0
164.5321931,0,0,0.000606499,0.003346536,0
165.0185925,0,0.00388598,0.010617698,0.008268862,0.001724248
167.0350525,0,0,0.007791684,0.005759403,0
171.5421682,0,0,0.003044901,0.004802398,0.000512642
177.0162339,0,0,0.003604872,0.002812439,0
181.0161753,0,0,0.009377381,0.007015455,0.000334838
183.0282614,0,0.004374361,0.014155471,0.011005387,0.001434528
195.0301826,0,0,0.008430414,0.004545742,0.000380842
197.0110642,0,0,0.005496808,0.004728598,0
207.0292508,0,0.002949768,0.006291426,0.003193089,0
229.0513351,0,0,0.001826613,0.002315817,0
231.5631132,0,0,0.045912662,0.032512732,0.008128594
243.0662575,0,0,0.006291433,0.004493828,0
253.0511779,0,0,0.001515926,0.001676241,0
257.0426511,0,0,0.002985532,0.002373241,0
270.0514289,0,0.000918563,0.006577757,0.005154431,0
271.0562721,0,0,0.007608812,0.006142,0
272.0644736,0,0,0.002572798,0.000604107,0
281.0421623,0,0,0.00083158,0.002138247,0
282.0508393,0,0.001050666,0.010574262,0.009138111,0.001016798
283.0594655,0,0,0.002113471,0.001859055,0
284.0452405,0,0,0.007803196,0.004752576,0
285.0755609,0,0.000649225,0.003061207,0.000983205,0
286.0483264,0,0.002660629,0.016490025,0.010806839,0.000339191
295.0632575,0,0,0.001198927,0.00151599,0
296.0697771,0,0,0.004846251,0.001906229,0
297.0761726,0,0.007199711,0.012006882,0.006268196,0
298.05027,0,0.016849649,0.021405069,0.01822773,0.00248194
299.0566314,0,0.000610803,0.009880498,0.008079375,0.001440758
300.0629905,0,0.007451679,0.034254155,0.021503843,0.004920317
301.0693387,0.009382714,0.021279913,0.014368985,0.007688375,0.000506154
309.0740443,0,0,0.001002238,0.000892171,0
310.0435818,0,0.005606067,0.015292557,0.01350968,0.00186406
311.0673393,0,0.004034628,0.012054846,0.007071136,0.000361463
312.0668012,0,0.010161497,0.033214187,0.019670193,0.002030469
313.0739799,0.113135415,0.240240934,0.198774633,0.12675011,0.033231802
314.0689219,0.000356825,0.021996704,0.080886179,0.061394819,0.011998463
315.0462983,0,0.003618949,0.01730035,0.013703037,0.003801417
323.0586794,0,0,0.004797562,0.002919178,0
324.0605565,0,0.009909447,0.016185504,0.008580456,0
325.072674,0.034380562,0.07197357,0.079323736,0.056933209,0.013664891
326.0777572,0,0.004619415,0.009706491,0.003792846,0
327.0504431,0,0.008150899,0.04963645,0.039333199,0.006072281
327.0805886,0,0.013468129,0.018821202,0.029078401,0.002434845
328.0619626,0,0.021886727,0.066690477,0.041270274,0.008271874
329.062518,0.051737919,0.163608346,0.29846326,0.190305108,0.046745261
336.0594351,0,0,0.002084308,0.00041142,0
337.0684077,0.008958204,0.02775217,0.028580701,0.018357493,0.00267067
338.0808674,0,0.003485001,0.006835698,0.002348432,0
339.0914075,0.002044834,0.031681421,0.018931822,0.007723584,0.000382922
340.0597117,0,0,0.00239959,0.00173073,0
341.0641492,0.001556393,0.022233099,0.054041213,0.039335677,0.007201998
342.0734217,0.002279458,0.018903531,0.043211239,0.083563987,0.024464893
343.0861002,0.209188624,0.383913376,0.326303937,0.214318248,0.061448122
351.0853332,0,0.003881453,0.003609468,0,0
352.0577954,0,0.000635881,0.002517509,0,0
353.1053263,0.002088471,0.024432599,0.015826802,0.006892333,0
355.0832543,0.00543901,0.016611814,0.028526197,0.015981612,0.002689001
363.0819702,0,0.004139978,0.002170886,0,0
365.0707457,0,0.00594697,0.011359189,0.005301554,0
366.0738139,0,0.004471256,0.005054114,0.003700483,0
367.0819379,0.1203451,0.157946115,0.076463401,0.048733309,0.013747704
371.0774108,0,0.00211548,0.009213644,0.004065896,0
373.085926,0,0.002319411,0.000465057,0,0
377.0614355,0,0,0.001354873,0.00049828,0
379.0757344,0.010783228,0.039274134,0.018777475,0.01168264,0.001665207
381.0961774,0.004672666,0.020416255,0.006234109,0.003421673,0
389.0852503,0,0.005220288,0.006885569,0.003148864,0
391.0816595,0.009911221,0.03100224,0.01028825,0.006628855,0
395.0727512,0,0,0.002807768,0.000463517,0
397.0906383,0.077121674,0.057745202,0.031171084,0.019810037,0.006483452
407.076349,0,0,0.004066317,0.000651044,0
409.0927605,0.061173054,0.095817242,0.036391379,0.026151775,0.006198839
427.1058133,0.092508553,0.085975372,0.039972961,0.02907574,0.008256977
444.1070145,0,0.009471207,0.009097847,0.005475288,0
445.1118205,0.119464007,0.06653428,0.042215326,0.03080108,0.016360587
