mz,8EV,10EV,15EV,20EV,25EV
139.0384645,0,0.013300672,0.005772701,0.002484691,0
145.0515462,0,0.004945164,0.012811478,0.028720151,0.003042651
153.0209031,0,0.029130783,0.040561716,0.032988046,0.002481823
153.054868,0,0.008343619,0,0,0
164.0447797,0,0.000620145,0.001099624,0,0
165.0170206,0,0.010598731,0.003940472,0.000942274,0
167.0701419,0,0,0.002029039,0.001098533,0
173.5371715,0,0,0.014917527,0.04995037,0.007505561
181.0492947,0,0.007981839,0.003597694,0.00477521,0
192.0413322,0,0,0.001594589,0.000924127,0
203.0331054,0,0,0.002152213,0.00345017,0
215.0350785,0,0,0.002331817,0.002366643,0
229.0457634,0,0.00251844,0.011068932,0.007240677,0
232.0405904,0,0,0.003719838,0.00278113,0
233.0432193,0,0,0.006443778,0,0
243.0288238,0,0,0.003403008,0.002523393,0
244.0372756,0,0,0.003378061,0.001083578,0
245.0432103,0,0,0.003122862,0.001296193,0
257.0440939,0,0.001672432,0.008890187,0.007548745,0
258.0541261,0,0.008459307,0.015842108,0.007503924,0
259.0600638,0,0.010870322,0.006929315,0.001460029,0
260.0334005,0,0,0.005062805,0.006324343,0
261.0383375,0,0,0.006911434,0.002207859,0
269.0430404,0,0.002700982,0.001933144,0,0
275.0569928,0,0,0.008396264,0.00918794,0
285.0414498,0,0.005980382,0.011024516,0.009870867,0
286.0488759,0,0.029751793,0.022647885,0.011492662,0
287.0581497,0.006132107,0.062713574,0.033751088,0.019371423,0.000710569
289.0336274,0,0,0.010146592,0.002915974,0
291.084374,0.001313618,0.022996824,0.006511031,0,0
300.0234853,0,0.001002128,0.015655711,0.01235056,0
301.0349502,0,0,0.003102237,0.001181897,0
302.0429592,0,0,0.003535644,0.000806223,0
303.0509914,0,0.015410934,0.033907344,0.021579615,0.00070582
313.0339937,0,0,0.004646525,0.000756486,0
314.0428547,0,0.012802149,0.006331808,0.000810862,0
315.0479371,0.006281878,0.038855168,0.03439961,0.020578346,0.000790479
317.068428,0.004897443,0.01293906,0.031861525,0.021358174,0.000855274
318.0748395,0,0.009838432,0.013163291,0.005743362,0
331.0458055,0,0.036070163,0.059490777,0.034589262,0.004653821
332.0563697,0.004127107,0.047092885,0.026087819,0.011593298,0
345.058673,0.017029969,0.027528329,0.035497292,0.023555457,0
346.0703191,0.24568503,0.403067102,0.487327495,0.369223061,0.07628195
347.0870997,1.076646787,1.051428305,0.883173446,0.709469025,0.511985545
