mz,8EV,10EV,15EV,20EV,25EV
225.0393429,0,0,0,0,0.001117219
288.5832629,0,0,0,0.002820542,0
295.0642202,0,0.007893948,0.01142699,0.006901535,0
297.074751,0,0,0.001080261,0,0
299.0697492,0,0,0,0.001908776,0.002192947
307.0612833,0,0.006115896,0.010457448,0.008659821,0
309.0768658,0,0,0,0.001555773,0
311.0563671,0,0.002308974,0.016191936,0.015874898,0.000888085
313.0709612,0,0,0.001058535,0,0
323.0528618,0,0,0.001132225,0,0
325.0679937,0.007280273,0.023605205,0.033060435,0.02715445,0.002134412
327.0474132,0,0,0.004849238,0.007459349,0
336.065873,0,0,0,0.001643686,0
337.0696945,0.009283958,0.024901386,0.040606993,0.026238054,0.000918042
341.0675301,0,0.006308565,0.035651756,0.030081261,0.004120794
349.0712577,0.003527531,0.007805716,0.008812754,0.005931535,0
353.0663675,0,0,0.005294161,0.003948163,0
354.0759783,0,0,0.003310318,0.002788089,0
355.0839675,0.012992702,0.032868082,0.032831848,0.020144938,0.001985264
365.0656936,0,0,0.014936553,0.008521754,0
367.0773529,0,0,0.001928605,0,0
378.0716195,0,0,0.001044705,0,0
379.076223,0.01276415,0.028688922,0.022113457,0.011852966,0
391.086024,0.002639907,0.007366928,0.006885237,0.00368966,0
395.072527,0,0,0.005168407,0.001289116,0
403.0799294,0,0.001415601,0.003899324,0,0
407.0723626,0,0,0.003236683,0.003132261,0
409.0895324,0.009693766,0.01823951,0.011472357,0.005894587,0
421.103196,0.004624109,0.010946142,0.009034709,0.003163895,0
425.0875719,0,0,0.008644806,0.003516759,0
427.1007712,0.014166,0.017287179,0.008090266,0.003780397,0
439.1091141,0.011585015,0.024770758,0.012488458,0.008047998,0
443.0931367,0,0.001239483,0.012581792,0.009038687,0
445.1108075,0.020148107,0.014726832,0.008295644,0.006394167,0
456.1032257,0,0.000944625,0.010063934,0.004001475,0
457.1173807,0.098135811,0.096982127,0.055405933,0.034784479,0.006326394
461.109707,0.004860224,0.015814013,0.035566021,0.028306835,0.003111138
469.1114267,0,0,0.002537594,0,0
474.1131007,0,0.005436846,0.007087094,0.002509335,0
475.1192883,0.056328916,0.04752219,0.029555699,0.016362458,0.001000352
481.1110258,0.01121829,0.012262551,0.004045587,0.000748944,0
487.1273856,0,0,0.001083583,0,0
499.1254033,0.014761722,0.011704914,0.003310277,0.001717358,0
511.1260356,0.015843113,0.00855381,0,0,0
523.1206948,0.006316198,0.008717296,0.001461396,0,0
529.1347923,0.012304705,0.005088494,0,0,0
541.1392485,0.014857315,0.013194259,0.003235631,0.001216271,0
559.141825,0.036793185,0.025371257,0.011305681,0.004876656,0
576.1471353,0,0,0.001010395,0,0
577.1596764,0.10291547,0.052078351,0.034046667,0.021320911,0.005330287
