mz,8EV,10EV,15EV,20EV,25EV
127.0385033,0,0,0,0.006200286,0
145.0453711,0,0,0.014142905,0.026553197,0.003568101
163.0586763,0,0,0.00312372,0,0
165.016461,0,0.005113637,0.007100608,0.001980259,0
167.0302781,0,0,0.002420876,0,0
183.0309178,0,0.002490264,0.003942132,0.002405045,0
197.0067769,0,0,0.004982425,0,0
207.0289115,0,0,0.003014022,0,0
254.056993,0,0,0.004193216,0,0
255.0644592,0,0,0.00337656,0,0
267.0659409,0,0.005414158,0.005463965,0,0
270.0530222,0.002545761,0.007553075,0.020213958,0.010857974,0
271.06586,0.006298057,0.019022642,0.012715461,0.00809232,0
282.052189,0,0.004675187,0.009876307,0.006800672,0
283.0575688,0.056038534,0.115949053,0.09748383,0.053995681,0.009801986
284.0713476,0,0.013126411,0.022227681,0.013602465,0
285.0389302,0,0,0.006869235,0,0
294.0515017,0,0,0,0.003007395,0
295.0628673,0.004191656,0.020649161,0.040178326,0.024252477,0.00356564
296.0658466,0,0,0.004572331,0,0
297.0451786,0,0.008883361,0.015948593,0.012615114,0
298.0464402,0,0,0.005636291,0.002831401,0
299.0544732,0.024597607,0.057701178,0.172757216,0.107021451,0.01799947
307.0545651,0,0.01269011,0.020162957,0.015805759,0
309.0732426,0,0.019559866,0.00980199,0.004119175,0
311.0553003,0,0,0.005881048,0.003722446,0
312.0625613,0,0.019644054,0.048154551,0.030261513,0
313.0766553,0.101666726,0.200760655,0.197699426,0.110217818,0.015811097
323.0842079,0,0.008053002,0.003309302,0,0
325.0717289,0,0.011523285,0.037933438,0.018718049,0
326.0801687,0,0,0.003254077,0,0
336.0599073,0,0,0.008784011,0.002927647,0
337.072635,0.043933878,0.078349057,0.055810579,0.026074919,0.003433843
341.0591034,0,0,0.011373958,0.006189155,0
349.0712021,0,0.014527583,0.00981289,0.00346668,0
351.0892205,0,0.00375713,0.003852734,0,0
361.070902,0.003304181,0.007880945,0.004982164,0,0
366.0757501,0,0,0.003564394,0,0
367.0838592,0.029607068,0.05128609,0.033955678,0.015071514,0
378.0700596,0,0,0.002988177,0,0
379.0888123,0.022674565,0.037495638,0.023065242,0.010611732,0
396.0922274,0,0,0.003538799,0,0
397.0939303,0.033546505,0.05980906,0.036441966,0.017989124,0
414.0949272,0,0.013236424,0.018522689,0.020030881,0
415.1031454,0.090077285,0.131572893,0.069516057,0.037407106,0.006562908
416.1105894,0,0.004053736,0.0057734,0,0
432.1062832,0.009142143,0.02405057,0.05121661,0.044776899,0.00617722
433.1157756,0.376355819,0.327405689,0.20092879,0.113963325,0.037564109
461.1035826,0,0,0.014199525,0.019728497,0.002707739
475.1300035,0.004414246,0,0,0,0
577.1574832,0.00194308,0,0,0,0
593.1742618,0,0,0.004304396,0,0
