mz,8EV,10EV,15EV,20EV,25EV
145.04898,0,0,0.006627727,0.01347535,0
153.0141932,0,0.011462056,0.02979511,0.013170123,0
197.0591368,0,0,0.002648655,0,0
213.0539574,0,0,0.004512586,0,0
241.0515786,0.072788689,0.074835497,0.057044404,0.026547483,0
242.0558267,0.007287809,0.027003492,0.055951902,0.032365176,0
269.0437341,0,0,0.009720073,0,0
270.0514563,0.078053179,0.164414525,0.287701928,0.185761946,0.03200389
271.0642908,0.397412488,0.552296274,0.467825411,0.333867002,0.071522445
283.0543119,0,0,0.002282371,0,0
299.0562072,0,0,0.011561678,0,0
325.1124218,0,0,0,0.005298081,0
432.1022075,0,0,0.004105857,0,0
433.1096542,0.051965333,0.035057018,0.022898632,0.016488017,0.00253321
461.1098904,0,0,0.018569848,0.033443351,0.002736136
