mz,8EV,10EV,15EV,20EV,25EV
127.0376551,0,0.001683671,0.003693233,0.002469152,0
128.0619796,0,0,0.003842516,0.002123796,0
129.0567959,0.015024379,0.02324428,0.024547089,0.030541639,0.002398585
131.0496065,0,0,0.002079352,0.000895312,0
134.0351534,0,0,0.003707243,0.001169388,0
137.0214941,0,0.002242417,0.005856138,0.003006034,0
143.5276026,0,0,0,0.003522787,0
145.0507614,0.000849444,0.002547919,0.005785663,0.006210132,0
147.0663808,0.009005764,0.009667429,0.009152172,0.012249355,0
153.0183347,0,0.01500427,0.030213825,0.019231489,0.000955571
155.052015,0,0,0.002762639,0.002935519,0
157.0645975,0,0,0.004359064,0.001097831,0
165.0188295,0.000752858,0.018377232,0.007255073,0.004019348,0
173.0610475,0,0.00043404,0.002090202,0,0
183.027136,0,0.002550253,0.000730207,0,0
184.0511797,0,0.001252028,0.006708175,0.002975295,0
185.0575167,0,0.000813113,0.001354769,0,0
194.0190513,0,0,0.001723809,0,0
201.0533637,0,0,0.002686187,0.000518703,0
212.0451215,0,0.002556528,0.005493618,0.002802196,0
213.0543556,0,0.014959981,0.017628772,0.010629828,0
228.0420535,0,0,0.002150603,0,0
229.0498776,0,0.014115997,0.029517274,0.019913165,0.000430679
230.0587508,0,0.000858174,0.003344466,0.000621731,0
231.0710186,0,0.001636835,0,0,0
241.0511776,0,0.01052599,0.004541539,0.003138366,0
256.038024,0,0,0.001917127,0,0
257.0428538,0.071446935,0.058223044,0.063129633,0.042142311,0.00311818
258.0517959,0.00210021,0.034716893,0.049820068,0.029048924,0.002553802
259.0582713,0,0.00123693,0,0,0
269.0454374,0,0.004423677,0.001408362,0.000947077,0
273.0977553,0.001453209,0.000513394,0.000679631,0,0
284.0307905,0,0,0.001893113,0,0
285.0443288,0.049517647,0.071685965,0.084194185,0.065489225,0.005748243
286.0499494,0.18940753,0.324408773,0.434339877,0.389110913,0.059017626
287.0657644,0.742824325,0.804688666,0.64470636,0.571581109,0.252080694
299.0584531,0,0,0.001353808,0.000768185,0.000376171
309.1176212,0.005935794,0.002549579,0.006618182,0.006563952,0.000334852
315.0549913,0,0,0.003670902,0.003195667,0
329.0718442,0.000581903,0.001052082,0.000636651,0,0
375.0684463,0,0,0.0021192,0,0
395.0749182,0.002401448,0,0,0,0
413.0855904,0.059990225,0.032257846,0.019928308,0.008152315,0
431.1033916,0.002932836,0.001704311,0,0.00034445,0
432.1080013,0,0.00037903,0.001359767,0.000506022,0
433.1131013,0.01384417,0.011691414,0.007881352,0.006023647,0.003794537
448.1071168,0,0.003529511,0.004353312,0.004500125,0
449.1095171,0.271318529,0.209209576,0.188628695,0.167375165,0.147669638
477.1027688,0,0,0.003447827,0.011151614,0.000644741
559.1476436,0.021733768,0.011645733,0.007901179,0.003653023,0
