mz,8EV,10EV,15EV,20EV,25EV
207.0280154,0,0,0.004883203,0.003016527,0
283.0655169,0,0,0.008135758,0.006245551,0
284.0710561,0,0,0.00409917,0,0
294.0529782,0,0.004724348,0.008815909,0.005908761,0
295.0593029,0.005791555,0.019675784,0.026253153,0.018304391,0
296.0707209,0,0,0.004752531,0,0
297.0754193,0,0,0.01018337,0.007419489,0
299.0543125,0,0,0,0.003561896,0
307.0613483,0,0.015138093,0.028995913,0.017637499,0
308.0690202,0,0,0.00753071,0.005546524,0
309.0817903,0,0.005034917,0.014036653,0.008374186,0
311.0517883,0,0.00542151,0.035565874,0.032360446,0.006076673
312.0555887,0,0,0.008823495,0.005549798,0
313.0748853,0,0.006285469,0.006853382,0.005557063,0
321.0782219,0,0.00651705,0.010202781,0.006227241,0
323.0595908,0,0,0.008017701,0.007441311,0
324.0666814,0,0,0.006400771,0.004212326,0
325.0665001,0.021156083,0.052455842,0.074630165,0.056299389,0.011748682
326.0802527,0,0,0.005238606,0.003775906,0
327.0477054,0,0,0.013886374,0.017522781,0.002518679
335.0596395,0,0,0.008284085,0.008855355,0
336.0636793,0,0.002958104,0.012040737,0.008928838,0
337.0674209,0.022095561,0.058350055,0.096470379,0.058610969,0.010283499
341.0665706,0,0.012016168,0.072335628,0.073443064,0.013401602
349.0769981,0.012241876,0.02426454,0.022851572,0.016433637,0
351.0858655,0,0.00960951,0.008460423,0.005601845,0
353.0710176,0,0,0.011840981,0.014890767,0.003983497
354.0703049,0,0,0.008384105,0.005967965,0
355.0765471,0.027339468,0.065138993,0.064096121,0.038192224,0.00903985
361.0675913,0,0,0.004376856,0,0
365.0619879,0,0.00892116,0.038654096,0.0268228,0.004946838
367.0805762,0,0.005487433,0.007727861,0.005011905,0
375.0928373,0,0.008371911,0.006137911,0.003018737,0
377.0646735,0,0,0,0.003322172,0
378.0706418,0,0.003919644,0.008150315,0.00521913,0
379.0855864,0.031998232,0.065900294,0.045309931,0.030369674,0.005035749
391.0820705,0.005647011,0.014312746,0.014044096,0.008695014,0
393.0934968,0.011004816,0.028110691,0.01793288,0.010026477,0
395.0788989,0,0,0.008877533,0.005733155,0
403.0823313,0.00283701,0.015729801,0.00909558,0.004523709,0
405.0907956,0,0.014899289,0.012466289,0.005333186,0
407.0765547,0,0,0.008283654,0.008431828,0
409.0850173,0.020564406,0.039533445,0.036330443,0.022987556,0.004133961
411.1103508,0.022714676,0.036847848,0.012055801,0.008155623,0
421.0947055,0.012876376,0.027845032,0.016240233,0.009600896,0
423.1091783,0.009466139,0.021805544,0.01213311,0.005801942,0
425.0880255,0,0,0.006748294,0.006007364,0
427.1039108,0.010688122,0.010712593,0.020886037,0.009690395,0
429.1184712,0.016356404,0.02030433,0.008134549,0.004699561,0
439.1041507,0.018028951,0.040224415,0.022385271,0.013899668,0.001976585
440.1094469,0,0.003810356,0.009552756,0.006085334,0
441.1220706,0.042753608,0.071987159,0.03634253,0.023484148,0
443.0971442,0,0,0.010081042,0.011327527,0
445.1014527,0.02573722,0.035154317,0.052670749,0.039016273,0.006222623
447.1123573,0.00352618,0.011241104,0.005603758,0.003530619,0
453.1117353,0,0.003636805,0.008105255,0.003208764,0
456.0991948,0,0.005771516,0.006856694,0,0
457.1153642,0.129837643,0.121386641,0.061933412,0.045468877,0.009495055
458.1158751,0.004012225,0.012693658,0.01856467,0.011040691,0
459.1279844,0.124918428,0.107287763,0.053949604,0.034845892,0.009227035
461.1008094,0,0.020264037,0.029263211,0.059646522,0.014092857
462.1162089,0,0,0,0.005563888,0
465.1246994,0.025862905,0.038218821,0.012749628,0.008408044,0
469.1023585,0,0,0,0.004460016,0
471.1049877,0,0.005372914,0.008007552,0,0
471.1411678,0,0,0,0.003264371,0
475.1294546,0,0.006226361,0.01025091,0.006845543,0
483.1284394,0.063044715,0.048605134,0.021887331,0.015717972,0
489.121078,0,0.007224285,0,0,0
495.1331993,0.035882538,0.027195044,0.010713576,0.005985845,0
507.1351208,0.018452054,0.027068474,0.009287125,0,0
513.1411128,0.048557894,0.028701333,0.010439334,0.008576126,0
525.1400685,0.043163791,0.043026786,0.015631943,0.010076276,0.002913174
543.1482595,0.104351229,0.070400642,0.029130534,0.021041162,0.004512373
560.1527593,0,0.007866826,0.00931167,0.003642802,0
561.1650118,0.286348277,0.153980864,0.096825308,0.067184521,0.025248822
