mz,8EV,10EV,15EV,20EV,25EV
195.0303399,0,0,0.002998055,0,0
207.0279709,0,0,0.004186955,0,0
219.0265777,0,0,0.002893869,0,0
223.0250684,0,0,0,0.002978194,0
271.5741822,0,0,0,0.002978561,0
283.0588962,0,0,0.01009172,0.00687936,0
284.0693818,0,0,0.003876165,0,0
294.0529599,0,0.004674967,0.008585806,0.007427004,0
295.0677062,0.00525518,0.015969455,0.022272543,0.018190445,0
296.0673289,0,0,0.002411017,0.003875811,0
297.0754019,0,0,0.011357783,0.007926777,0
307.0596162,0.001705738,0.017216009,0.031048882,0.019634194,0
308.0672856,0,0.003709522,0.006514597,0.004954356,0
309.0766056,0,0.004557803,0.00883284,0.007594639,0
311.0586929,0,0.008188966,0.032796819,0.02890571,0.004770433
312.0573085,0,0,0.006969244,0.005593761,0
313.0714036,0,0.005906976,0.007576642,0.00617005,0
321.0817267,0,0.005527733,0.008002018,0.004896275,0
323.052533,0,0,0.008054463,0.0082627,0
324.0631432,0,0,0,0.004086962,0
325.0735638,0.007370905,0.027663553,0.05669012,0.046937156,0.008649233
327.0494716,0,0,0.016975329,0.019700766,0.002809544
333.0775348,0,0,0.002910538,0,0
335.0560458,0,0,0.006766783,0.009625738,0
336.0582831,0,0.003224348,0.011795967,0.009286153,0
337.0746183,0.019161842,0.069344772,0.089114137,0.064295365,0.013492886
339.083003,0,0,0.004384638,0,0
340.0623097,0,0,0.003196324,0,0
341.0575147,0.002229697,0.017957003,0.076667512,0.065860323,0.013906352
349.0641756,0.004709428,0.014148568,0.021044148,0.015153974,0
350.0797954,0,0,0.002890319,0,0
351.074844,0,0.00910696,0.008782959,0.005766028,0
353.0636505,0,0.002544861,0.007545692,0.015713461,0
354.0795328,0,0.004601031,0.009192929,0.008172588,0
355.0820932,0.018702522,0.05762377,0.056995547,0.035946274,0.006465411
361.0638705,0,0.004721729,0.006237864,0,0
363.078864,0,0,0.005193209,0.004915563,0
365.0694886,0,0.007486633,0.038121309,0.022851961,0.003991359
367.0843411,0,0,0.007998922,0.005792173,0
375.0814542,0,0.005686051,0.00928466,0,0
377.0723009,0,0,0.006666622,0,0
378.0706536,0,0,0.005777068,0,0
379.0798715,0.021119066,0.060699177,0.041688607,0.029373244,0.004121919
383.0802965,0,0,0.003441183,0,0
387.0978608,0,0.008307272,0.007220466,0,0
391.0801483,0,0.009128837,0.024068591,0.012952862,0
393.0954584,0.004192837,0.009442177,0.006926856,0,0
395.0867131,0,0,0.005876989,0.003478178,0
403.0784157,0,0.005273753,0.003867152,0.003074999,0
404.0849759,0,0,0.003674135,0,0
405.0908179,0.013851828,0.049693141,0.035227179,0.019912032,0
407.0765778,0,0,0.006704381,0.005039181,0
409.0870244,0.004762008,0.017194692,0.034777596,0.022844937,0.00396184
411.1083875,0.003555192,0,0,0,0
421.0967462,0,0.007934653,0.007717871,0.003189008,0
422.0993556,0,0.003899244,0.00575719,0.002765637,0
423.1051741,0.056045751,0.103698565,0.053336658,0.034387776,0.007289659
425.0840127,0,0,0.01205541,0.007772884,0
427.0998891,0.008196004,0.021004414,0.014907026,0.011403116,0
429.1103785,0.006665634,0.0062862,0.005520232,0,0
433.1128701,0,0.003259048,0,0,0
439.108296,0.003931342,0.014577222,0.011730181,0.004314282,0
440.1115403,0,0.00538012,0.009277672,0.004467036,0
441.1241668,0.102679254,0.113443754,0.061799797,0.036515304,0.007136635
442.0822919,0,0,0,0.003112579,0
443.0971818,0,0.006686834,0.025424048,0.018046085,0
445.1118343,0.0190079,0.039340273,0.037218393,0.035564867,0.007703193
447.1041034,0,0.00727937,0,0.00473201,0
456.1097079,0,0,0,0.003601223,0
457.1196003,0.026152579,0.0578373,0.032636993,0.016958415,0.002878659
458.1138202,0,0.00323944,0.005684948,0.003399841,0
459.1322306,0.018625906,0.019073131,0.019502638,0.009018435,0
460.1055,0,0,0,0.006878555,0
461.1071709,0.008329664,0.029934439,0.04937748,0.039715174,0.009835189
463.10956,0,0.006787123,0,0,0
469.1130253,0,0,0.005562408,0.007767072,0
474.1127099,0,0.006062531,0.008724035,0.005119147,0
475.1295054,0.065038215,0.065635728,0.032353603,0.019816917,0.003792648
481.1176476,0.02922478,0.043201685,0.012298647,0.008635359,0.002004365
485.1003405,0,0,0.002972968,0.004575943,0
487.1346322,0,0,0.005762728,0.003474016,0
489.1211348,0,0.006709778,0,0,0
499.1230426,0.02007901,0.026319246,0.01187747,0.007449002,0
507.1241449,0.005134964,0.016927869,0,0,0
521.123587,0,0,0.004761426,0,0
524.129506,0,0,0.002788105,0,0
525.1468816,0.103955721,0.115632216,0.040323392,0.028934787,0.006335146
542.1319291,0,0,0.004292786,0,0
543.1529099,0.160654564,0.096687777,0.047911368,0.032958506,0.008421236
560.1528469,0,0.004383135,0.007564129,0.00366324,0
561.1581317,0.160824975,0.088361303,0.054375548,0.034657461,0.009894481
