mz,8EV,10EV,15EV,20EV,25EV
127.0398171,0,0,0.000486557,0.001657869,0
128.0630404,0,0,0.002065457,0.00100375,0
129.0558004,0.009738623,0.024763451,0.03106339,0.029876605,0.0037259
131.0490775,0,0,0.001672053,0.000573047,0
139.0535191,0,0,0.003300637,0.003321479,0
141.0679938,0,0.000459998,0.004228677,0,0
145.0283084,0,0.001273972,0.002575036,0.002433072,0
145.0649006,0,0.000929964,0.003560366,0.002643698,0
147.0639442,0.007472071,0.010394753,0.011704229,0.011417998,0.000653966
152.0097824,0,0.0023236,0.002260563,0.001387654,0
153.0172557,0.002949511,0.043343858,0.088026913,0.055315995,0.007443484
155.049006,0,0,0.001296625,0,0
157.0646621,0,0,0.004049964,0.002348436,0
168.0612975,0,0,0.001514373,0.000429848,0
169.0649828,0,0.000503043,0.004043664,0,0
170.0201874,0,0.010447893,0.019396638,0.010244957,0.000333344
171.0302154,0,0.002271946,0.005556544,0.003389816,0
185.0614521,0,0,0.001747008,0,0
187.0388486,0,0,0.002438824,0,0
197.0620658,0,0.003743177,0.00859696,0.003464581,0
201.0544823,0,0.003863689,0.000628797,0,0
213.0558477,0,0.003330963,0.01817314,0.010436018,0.000373859
215.0673782,0,0.004212468,0.000779719,0,0
225.0549986,0,0.001517449,0.001072147,0,0
229.0515337,0,0.001138531,0,0,0
241.0497928,0.000771895,0.012008453,0.044695519,0.031100015,0.002414353
242.0568605,0.008284473,0.069397433,0.106924591,0.058594444,0.006072999
253.0497036,0.00038786,0.009938576,0.00419811,0.002427656,0
269.045315,0.004767147,0.03319674,0.035213304,0.023226206,0.00081119
270.0565341,0.358185228,0.391628991,0.47582659,0.394815085,0.073274954
271.0626849,0.757036337,0.802955483,0.760808869,0.675394037,0.474821588
283.0580915,0,0.002715466,0.003544387,0.000546451,0
285.0408868,0,0,0.004601511,0.001815212,0
299.0550288,0,0.001910344,0.012173661,0.007646945,0.000565827
309.1170984,0.005525639,0.004880342,0.010099339,0.008344842,0.002174946
313.070551,0.000923019,0.004416522,0.003682708,0.002355777,0
415.0999928,0.001269385,0.001497156,0,0,0
433.1169534,0.039438579,0.031861423,0.027691662,0.028961531,0.01440741
461.1095813,0,0,0.001743298,0.008301069,0
