mz,8EV,10EV,15EV,20EV,25EV
163.0396969,0,0,0.004097636,0,0
181.0135537,0,0,0.006141936,0.005254925,0
270.0507689,0,0.005784701,0.019047615,0.007291828,0
271.0652271,0.010674604,0.024806893,0.02530695,0.014698979,0
283.063644,0.016222276,0.055397792,0.068303283,0.046846505,0.009236827
284.0708336,0,0.009344619,0.020514043,0.017941606,0.002010591
294.0510811,0,0,0.00439439,0,0
295.0590878,0.002347178,0.018088485,0.048102105,0.03166544,0.005363208
297.053236,0,0,0.01173254,0.007618712,0
298.0494431,0,0.00365227,0.018282114,0.013927538,0
299.050709,0.006376315,0.102655756,0.221133187,0.173575717,0.038178837
309.0850328,0,0,0.002420443,0,0
311.0602311,0,0.002877346,0.008159035,0.005419972,0
312.0623141,0,0.00718839,0.019649898,0.014909264,0
313.0712132,0.017792097,0.082849381,0.137975366,0.094523054,0.018030225
315.048645,0,0.003865831,0.004811311,0.004424053,0
325.0698425,0,0.003210775,0.013824585,0.008846019,0
337.0600362,0.00363426,0.019593675,0.025594541,0.012863913,0
338.0796875,0,0,0.00271379,0,0
341.0645789,0,0.001991489,0.011059991,0.015079749,0
343.0884314,0,0.005161109,0.012085777,0.005746544,0
355.078225,0,0,0.005850931,0.003581045,0
367.082295,0,0.010034682,0.014558805,0.007677645,0
379.0758915,0,0.00716833,0.009610884,0.005367108,0
385.0920723,0,0,0.009505281,0.006693743,0
397.0926147,0.005897825,0.033433176,0.039199523,0.024122446,0.003657308
414.0897681,0,0.00682969,0.009155861,0.006339993,0
415.0959926,0.023177555,0.082447094,0.074156941,0.043305699,0.009570753
431.0969512,0,0.010422235,0.028715843,0.013374874,0
432.0950837,0.002181915,0.037642746,0.057224623,0.031641335,0.003909061
433.1168167,0.203556757,0.377925419,0.218746571,0.154804943,0.040746767
459.1342112,0,0.004969973,0.007515733,0.004316914,0
460.0948642,0,0,0.003208052,0.004652877,0
461.1133681,0,0.012492859,0.070855407,0.127315751,0.036652201
462.1077044,0,0,0,0.00365682,0
475.120845,0,0,0.013024535,0.006695117,0
505.1365425,0,0,0.003098997,0,0
577.1508335,0,0.004584094,0.006325082,0,0
