mz,8EV,10EV,15EV,20EV,25EV
102.9322673,0,0,0,0.00139033,0
107.0508554,0.001326505,0.00369184,0.012161627,0.006742882,0
129.0566193,0.014709609,0.03452505,0.029120232,0.036454644,0.002658982
136.5367467,0,0,0,0.004353562,0
137.0239591,0,0.000376263,0.001668495,0.001046387,0
145.0482857,0,0,0.000685149,0.002013905,0
147.0542667,0.006295687,0.020398192,0.025294593,0.022799638,0.00033955
149.0232207,0,0.000468102,0,0.001338112,0
152.0080811,0,0,0.001642334,0.001145204,0
153.0203491,0.049053114,0.123262554,0.129999161,0.122020946,0.010966833
163.0372393,0,0,0.000384845,0.001012877,0
165.0186293,0,0.004991961,0.012030204,0.012299767,0
166.0253558,0,0.003332199,0.014567762,0.018068965,0
171.0285997,0.009420388,0.01828374,0.012253193,0.007028412,0
177.0169904,0.000442299,0.001538582,0.003093304,0.003475944,0
179.032923,0,0.00102133,0.009691301,0.007288944,0
181.0140048,0,0.000785787,0.013932487,0.018537427,0
183.028896,0,0.001237604,0.005973742,0.004674705,0
191.0308179,0,0.002901758,0.002001611,0.001057604,0
194.0207799,0,0,0.005203371,0.006778578,0
195.0275094,0.031312072,0.068643208,0.069855806,0.04847192,0.001199008
197.0069655,0,0,0.001208146,0,0
207.0257542,0,0.000805593,0.00365081,0.00390212,0
219.0281312,0.007567565,0.020193908,0.008504571,0.005067504,0
223.0206904,0,0,0,0.001640393,0
231.0475064,0.001791153,0.002902469,0.000915271,0,0
237.0367716,0,0.000503084,0.001132605,0,0
245.0427581,0,0.001964237,0.000353286,0.001141259,0
249.0399941,0,0.0009614,0.001021941,0.00034555,0
255.0657811,0.000356602,0.000345977,0.001223539,0.000442337,0
261.0413583,0.001032801,0.003435215,0.001857027,0.001075361,0
263.0538932,0.006993447,0.012217487,0.003928017,0.000468057,0
271.0583759,0,0.005581707,0.02385754,0.023623416,0
272.0652201,0,0.020647207,0.057047829,0.056008203,0.004632037
273.0750479,0.325666238,0.356170576,0.378409933,0.340651362,0.153231116
279.0505047,0.001057121,0,0.000721433,0.000692172,0
281.0636675,0.004641046,0.004278061,0.001765616,0,0
285.072188,0.003137379,0.007384526,0.005828755,0.005790441,0
297.0603865,0.007480383,0.009572804,0.00436354,0.002665462,0
301.0684745,0,0,0.01124133,0.006397088,0
309.1123444,0.008315907,0.005498919,0.004007486,0.001392267,0.000623554
314.0794376,0,0.000589243,0.005468955,0.001556529,0
315.084811,0.050525973,0.057324092,0.039031251,0.028391643,0.006967656
327.0836874,0,0,0.000859574,0.001156599,0
339.0849877,0.022146779,0.024098659,0.012485956,0.008505841,0.000565446
351.0798612,0.001110087,0.000790927,0.000416693,0,0
365.102278,0.00183181,0,0.000365517,0,0
381.0966856,0.002327839,0.003360076,0,0.001155997,0
383.1073576,0.018641866,0.014477534,0.004536021,0.002594382,0
399.1071526,0.003720625,0.004440442,0.00226847,0.000622663,0
401.1254365,0.033518627,0.025367318,0.0137127,0.007431064,0.003871029
401.9779542,0,0,0,0,0.001088966
416.1103606,0,0.000880713,0.001662502,0.000360271,0
417.1145945,0.046715657,0.037929383,0.02437095,0.014966436,0.007302347
418.1188205,0,0,0.003918538,0.002856967,0
419.1297119,0.1819403,0.139859171,0.126029865,0.103043563,0.093583242
434.1172831,0,0.001667279,0.009518558,0.020853579,0
435.1270428,0.14132373,0.115786864,0.081479417,0.058137956,0.035947497
443.1294329,0.003057927,0.001269605,0.001198452,0,0
459.1248836,0.004927259,0.002898475,0.001158031,0,0.000508034
461.1460444,0.005621041,0.0027552,0.001930377,0,0.001189817
463.1250804,0,0,0.001471472,0.00576518,0
527.1531883,0.005632987,0.001867668,0.000878885,0.000366781,0
545.1583983,0.010884364,0.005011105,0.001638789,0.003377959,0.002918929
563.1746361,0.010878039,0.01037271,0.009171922,0.004755868,0.007998412
