mz,8EV,10EV,15EV,20EV,25EV
129.0555803,0,0,0.017445421,0.009599404,0
147.0443104,0.017147693,0.047315664,0.044059239,0,0
153.0165246,0.083614317,0.156210655,0.137258919,0.073808284,0.010885967
166.0255929,0,0.011211564,0.022552789,0.013067806,0
171.0265414,0.053955898,0.055896648,0.022213876,0.006453401,0
195.0271905,0.015046203,0.01611553,0.022081993,0,0
271.0576471,0,0,0.022032522,0.012901818,0
272.0723645,0,0.031016252,0.090294711,0.066370317,0.007100005
273.074395,0.562091308,0.581514805,0.544922918,0.312999142,0.154626276
315.0817431,0.009941252,0.018588915,0,0,0
339.0771705,0.008673998,0,0,0,0
401.1268572,0.011881347,0,0,0,0
417.1229602,0.01615638,0.012994,0,0,0
419.1419534,0.064880377,0.050034433,0.053726521,0.034261802,0.031446269
435.1400193,0.090210635,0.053180622,0.041823216,0.025251981,0.0147264
