mz,8EV,10EV,15EV,20EV,25EV
107.048908,0.001807514,0.004646783,0.013254831,0.008717799,0
127.0382337,0,0.001738809,0.002042894,0.002410693,0
129.0541376,0.028703898,0.052054602,0.041845732,0.044404428,0.003397216
135.0449176,0,0.001299598,0,0,0
136.5364894,0,0,0.000351976,0.003852501,0
137.0226959,0,0,0.003878593,0.002939436,0
145.0480463,0,0.001274223,0.003031482,0.007170772,0
147.0529105,0.015364257,0.049151733,0.033464716,0.034028235,0
152.0092635,0,0.000831811,0.001499714,0.002225881,0
153.0178045,0.047652693,0.125614043,0.151414936,0.120916437,0.011480504
163.040883,0,0,0.00137476,0.001054401,0
165.0211957,0.001081348,0.005112976,0.00970477,0.007110797,0
166.0252438,0,0.005818841,0.021826284,0.022182614,0.000370252
167.0324172,0,0.001329478,0,0,0
170.0196796,0,0,0.002291174,0.001515428,0
171.0273718,0.006395453,0.015350187,0.012926607,0.008050802,0
177.0169556,0.000588524,0.003076727,0.004449441,0.001821107,0
179.0342045,0,0.003948547,0.014506106,0.011439807,0
181.0127851,0,0,0.011554949,0.013830948,0
183.0259667,0,0.002530843,0.004772892,0.00226326,0
189.0532181,0,0.002006138,0.000532082,0,0
191.0333428,0,0.002190919,0.001685628,0.000412092,0
194.019516,0,0,0.004785303,0.004170943,0
195.0272294,0.035537105,0.063425805,0.057241586,0.037920388,0.004071072
207.0300199,0,0,0.003009749,0.0021583,0
213.0519746,0.000538709,0.00091442,0.001411891,0,0
219.0280532,0.010860279,0.018742613,0.010586481,0.004995024,0
223.0221325,0,0,0.001069851,0.000730478,0
231.0661159,0.003529249,0.00384059,0.001858551,0.00138094,0
245.0472207,0.003954762,0.009555783,0.003941744,0.000897137,0
254.0566447,0,0,0.002675204,0.000942609,0
255.0672097,0,0.001822441,0.00301434,0.001286337,0
261.0396945,0,0.001450555,0.00122158,0,0
263.053817,0.015272826,0.022489068,0.009578815,0.004647757,0
270.052143,0,0,0.002687197,0.000443389,0
271.0617852,0,0.008170666,0.035175792,0.028369233,0.001586975
272.0665427,0.000386132,0.028699376,0.079199436,0.083117932,0.008382849
273.0767979,0.309308643,0.376257188,0.35561725,0.289017337,0.074141619
281.0652556,0.016168281,0.011483734,0.004857199,0.001909197,0
285.0740432,0.003710213,0.006228684,0.007211013,0.004925765,0
297.070459,0.005514805,0.008004281,0.003944992,0.001935001,0
299.0727609,0.002732295,0.002685098,0.001350451,0.000890947,0
301.0753971,0,0.000347052,0.015100414,0.009191851,0
309.108933,0.005286123,0.003624232,0.001545932,0.000401382,0
314.0793661,0,0.000728267,0.002769759,0.002070565,0
315.0865667,0.051054299,0.050980366,0.029189534,0.02212007,0.005554484
339.0883003,0.026516991,0.02008228,0.01348151,0.006219086,0.000744472
343.0814238,0,0,0.001988655,0,0
365.1040746,0.005899867,0.004429433,0.000926523,0,0
381.0929831,0.001374318,0,0,0,0
383.1089793,0.041299629,0.029441246,0.013064146,0.00737501,0.002632551
399.105321,0.001576622,0.00156005,0.000509051,0.000343345,0
400.1127533,0,0.000482976,0.001574007,0.000745667,0
401.1214524,0.046796159,0.031099846,0.02204626,0.014715268,0.013581212
417.1189495,0.021739361,0.015027532,0.012252901,0.006073297,0.005008313
418.1325594,0,0.006806504,0.006568095,0.007573013,0
419.1358625,0.302998383,0.240222991,0.198012056,0.169715487,0.165516312
434.1214987,0,0.003225129,0.013908579,0.02418668,0
435.1289546,0.162128756,0.11247105,0.075627668,0.059868504,0.034886018
459.1266933,0.002409526,0.000396123,0.000339324,0.000555879,0
461.1337206,0.002617082,0.001378684,0.000568598,0,0.0003998
463.1234262,0,0,0.003846509,0.008558165,0
527.1535221,0.002040567,0.000848563,0,0,0
544.1561321,0,0.001307815,0.000917446,0,0
545.16448,0.005684458,0.003241772,0.001431898,0.000339306,0.002183723
563.1708193,0.013487258,0.010149708,0.005017637,0.004027791,0.006699664
