mz,8EV,10EV,15EV,20EV,25EV
129.0542749,0.005016972,0.01422238,0.01654569,0.026208559,0.000426446
134.0367985,0,0.000487402,0.001659696,0.000780457,0
135.0432014,0,0.00229484,0.014876974,0.016093619,0
137.0572648,0.004830487,0.013843463,0.045327464,0.041806392,0.001492083
145.0458178,0,0,0.000638619,0.00330594,0
147.062555,0.002526233,0.004263172,0.00602013,0.00680433,0
149.0557382,0,0.000991829,0.001480636,0.002479435,0
150.0657205,0,0.00490425,0.030912881,0.025521502,0.001112452
151.0737659,0.000853026,0.001268902,0.002323348,0.001188218,0
153.0179691,0.01649665,0.04241556,0.070655733,0.057186051,0.003835814
163.0358626,0,0.002055881,0.002001124,0.001785881,0
165.0150246,0.00043903,0.002713615,0.006294191,0.005719897,0
167.0559307,0,0,0.001978959,0.00166628,0
171.0273268,0.00189524,0.009425053,0.007974644,0.005178497,0
177.0534324,0.015585941,0.039006825,0.043657913,0.038997152,0.00159074
179.0317016,0.002714756,0.005416281,0.013514511,0.008488895,0
181.0102336,0,0,0.006580752,0.009849686,0
183.0261663,0,0.001163719,0.003196833,0.002544305,0
191.0319224,0,0.000468562,0.0013632,0.000681059,0
194.0168788,0,0,0.006153668,0.004003132,0
195.0264217,0.021064348,0.040826548,0.048613185,0.032413675,0.001878816
207.0273064,0,0,0.001475273,0.002178459,0
213.9911193,0,0,0,0.000563097,0.001009897
219.0266475,0.005272258,0.011405216,0.008817292,0.003899625,0
225.045152,0,0,0.001922809,0.00048785,0
239.0964412,0,0,0.001905829,0.00238409,0
243.0558938,0.000576193,0.001241201,0.000722682,0,0
245.0412051,0.000820214,0.002158718,0.001584217,0,0
259.0544757,0,0,0.001152764,0.000495304,0
261.072821,0.003204405,0.003060114,0.003059054,0.000607211,0
263.0552638,0.004811577,0.01173946,0.003840244,0.001456584,0
281.067215,0.006897595,0.006410662,0.002772406,0.001092755,0
285.0741062,0.000625929,0.001502417,0.002316967,0.001339287,0
297.0587344,0.000806775,0.002188632,0.001091003,0.000339291,0
299.0653348,0,0.001032121,0.005678264,0.005461994,0
300.055418,0,0,0.004195634,0.003935074,0
301.0668077,0,0,0.009691994,0.006568122,0
302.075027,0,0.015820167,0.047179706,0.054705029,0.002314969
303.0863979,0.205318877,0.240001072,0.260055347,0.201964022,0.076338314
315.0796482,0.001942847,0.005464078,0.007196846,0.003447129,0
327.0765686,0.005995011,0.007633327,0.004702527,0.001314703,0
331.080495,0,0,0.006920091,0.005727972,0
341.0530433,0,0,0.002222697,0.000460858,0
342.0543181,0,0,0.004526278,0.001366972,0
344.0864719,0,0.00053162,0.003462226,0,0
345.094788,0.034500097,0.037844786,0.030591273,0.017512783,0.005559862
355.0650708,0,0.000462028,0.013759288,0.011019243,0.001232115
356.0705666,0.000357522,0.001010657,0.018427291,0.017511222,0.0027826
368.0796882,0,0,0.000641471,0.001343019,0
369.0943347,0.015619761,0.016191663,0.008129854,0.004711603,0
401.98012,0,0,0.001061424,0.001067854,0.001723535
411.1095472,0.000854806,0.001425828,0.000648267,0,0
413.1198684,0.016082123,0.011094208,0.005254853,0.003901816,0
416.0353965,0,0,0.001363553,0.002264108,0
418.993435,0,0,0.002387642,0.002006964,0
420.0015351,0,0,0.003974348,0.004237586,0
429.1148762,0.002074902,0.002075396,0.000923815,0.000512463,0
431.1358198,0.033780489,0.022607741,0.015450979,0.00823746,0.005430808
447.1283692,0.027621754,0.021106082,0.016066369,0.009512677,0.004686903
448.1344601,0,0.001051623,0.001104329,0.003063519,0
449.1461473,0.148154062,0.113643991,0.108360264,0.089021245,0.079443334
464.1258342,0,0.002624699,0.013977489,0.023453022,0.000461795
465.1180892,0.091963522,0.06821211,0.058446809,0.040759131,0.024862604
489.1429005,0.003051351,0.001842327,0.000451374,0,0
490.0539175,0,0,0.00185734,0,0
491.1526352,0.002780105,0.000956304,0.000460044,0,0
493.1301336,0,0,0.0002505,0.002279383,0
557.158109,0.003526331,0.001072281,0,0,0
575.1702919,0.007839919,0.004026014,0.000915494,0.000886079,0.001692335
578.1308429,0,0,0.000420801,0.012073971,0.000582725
593.1796651,0.009522463,0.005783831,0.004792343,0.004309004,0.005617314
595.1491685,0,0,0.006187311,0.000968439,0
609.1711481,0,0.001081019,0.000486424,0,0
