mz,10EV,15EV,20EV,25EV
113.0199961,0,0.004531303,0.005921204,0
125.0192095,0,0.002750466,0,0
127.033582,0,0.003044362,0.006359253,0.001374319
132.0141319,0,0,0.003086146,0.006668364
139.0339565,0,0.002647667,0.001090984,0
140.0394825,0,0.002154928,0.001841516,0
141.0496928,0,0.003445255,0.002075698,0
145.048885,0,0,0.010787155,0.002404313
155.0300587,0,0,0.001843951,0
156.0291696,0,0.002086402,0.001717688,0
157.0448909,0,0.002382637,0.001874622,0
167.0333901,0,0.001226601,0,0
169.0418018,0,0.010898023,0.007725869,0
171.0211374,0,0.007320655,0.002711663,0
184.0292677,0,0.002626704,0.001045459,0
185.0363009,0,0.053635505,0.042018128,0.011753371
186.0420695,0,0.002919017,0.002835031,0
201.0370092,0.008120021,0.07113389,0.055060668,0.011727586
203.0426984,0.001621045,0.031906193,0.028209196,0.005294371
218.0367797,0,0.005486508,0.003755003,0
219.0443675,0,0.001064252,0,0
225.0306717,0,0,0.002787117,0.006228166
229.0168717,0,0.00197786,0,0
231.0394905,0.010861461,0.117431719,0.09837571,0.022085166
245.0644299,0.002318788,0.035535234,0.017122279,0.004630814
257.0581823,0,0.004284412,0.005875804,0
259.0715408,0.0037385,0.026158365,0.010670619,0.001344755
261.046422,0,0.004823548,0.002062228,0
273.0561792,0,0.003823043,0.001786523,0
305.07553,0,0.002312654,0,0
317.0811594,0,0.006504837,0.005538343,0
333.0767324,0,0.003185201,0,0
334.0742091,0,0.001110755,0,0
347.0796122,0,0.011979419,0.008778804,0
