mz,10EV,15EV,20EV,25EV
113.0189404,0,0.007754847,0,0
125.0190523,0,0.002583809,0.001868392,0
127.0335864,0,0.003443358,0.006018826,0.001969719
132.0151458,0,0,0.003584171,0.001719012
139.0350965,0,0.002553641,0,0
141.0519015,0,0,0.002905821,0
145.0499421,0,0,0.006377175,0
155.03481,0,0.002036121,0,0
156.0350978,0,0.001458688,0,0
157.0436436,0,0.003163692,0,0
169.0429323,0,0.013699632,0.006333895,0.00273311
171.0299679,0,0.006450363,0,0
184.0277802,0,0.002574277,0,0
185.0400698,0.002719178,0.050939044,0.039571367,0.011204131
186.0445855,0,0.005817749,0,0
201.0284954,0.00770323,0.071082012,0.043792255,0.017999963
203.0508266,0.002318194,0.02707467,0.018385699,0.003788128
218.0352183,0,0.002771766,0,0
225.0363634,0,0,0.003612409,0.008758162
231.0407836,0.015091881,0.105980012,0.084134435,0.022826804
244.0460003,0,0.001961168,0.001467537,0
245.0611503,0,0.029461368,0.010276671,0.004195847
257.0438992,0,0.001287172,0.002371709,0
259.0697411,0.001593811,0.009592305,0.00541752,0
261.0495601,0,0.005547359,0,0
273.0559459,0,0.003162737,0,0
299.0540779,0,0,0,0.002362884
317.0773963,0,0.008496981,0.00231221,0.00145997
333.0727341,0,0.002724389,0.002283504,0
347.0811425,0,0.008805018,0.005359104,0.001428097
