mz,10EV,15EV,20EV,25EV
112.0037189,0,0,0.002413661,0.003639461
113.016807,0,0.00111897,0,0
132.0127662,0,0.003534764,0.006674671,0.006032705
169.0454098,0,0.001282274,0,0
171.0273017,0,0.001373581,0,0
185.0386335,0,0.012486148,0.008946314,0.001032733
201.0294419,0.001308005,0.025243997,0.019008592,0.006590861
203.049063,0,0.011238699,0.011787666,0.002773527
225.0314536,0,0,0.004643349,0.005375558
227.0157471,0,0,0,0.003212646
229.0102347,0,0,0,0.001144177
231.045034,0.002268823,0.047046021,0.062268359,0.012794972
245.0636794,0,0.037666351,0.025446655,0.00419671
259.0694932,0.002768479,0.02837054,0.015260005,0
317.071458,0,0.002766731,0,0
347.0785494,0,0.011895116,0.003510339,0.001172911
349.0659465,0.001291558,0,0,0
