Mass,8EV,10EV,15EV,20EV,25EV
145.0488612,0,0,0.001798657,0.00955633,0
165.017786,0,0.000854781,0,0,0
181.0137577,0,0,0.001640413,0.001640413,0
183.0280018,0,0.00337824,0.00184007,0.001032093,0
238.9414938,0,0,0,0,0.002536103
260.9731396,0,0,0,0,0.002458404
267.0625384,0,0.001384536,0.001011909,0,0
270.0515927,0,0.001372636,0.010150904,0.011299389,0
271.0581207,0.00489286,0.007067954,0.003657422,0.001730881,0
282.0507157,0,0.003943389,0.002119337,0.002119337,0
283.0584773,0.013303425,0.037634928,0.03579891,0.034224999,0
284.0668117,0,0.002468007,0.006222641,0.012603472,0
285.0367315,0,0.001496058,0.001774731,0.004459455,0
294.0495819,0,0,0.003122421,0.001622266,0
295.0592908,0.003232163,0.005255999,0.009412988,0.017517557,0
296.0673991,0,0,0.001033302,0,0
297.0361974,0,0,0.008307445,0.006527454,0
297.0726618,0,0,0.001070681,0,0
298.0442135,0,0.001431165,0.000881322,0.001753221,0
299.0541969,0.003588125,0.020629545,0.050065322,0.061337683,0.006591172
307.0597373,0.000803503,0.003736299,0.011364426,0.004442453,0
309.0724625,0.000725258,0.00766204,0.004221224,0.002278768,0
311.0534733,0,0,0.002695958,0,0
312.0600227,0.002152366,0.006983344,0.01553364,0.022677874,0
313.0683824,0.030158591,0.078820677,0.073026204,0.061179758,0.005444744
323.0924015,0,0.004639861,0,0,0
325.0681066,0,0.005356949,0.008001565,0.00791445,0.002269655
336.0618843,0,0.001947946,0.000756299,0,0
337.0678262,0.013347062,0.026835351,0.034503915,0.014512293,0.00052098
341.067504,0,0,0.00665897,0.00665897,0
349.0717841,0,0.004194448,0,0,0
351.0866958,0,0.003535725,0,0,0
361.0688858,0,0.003111868,0,0,0
367.0798704,0.009791768,0.026911325,0.005895798,0.002264194,0.000645441
379.0777199,0.007408545,0.012923775,0.008583295,0.003901611,0
379.0864343,0.001676715,0,0,0,0
397.0906573,0.014635272,0.032096836,0.01162824,0.008770169,0
414.0906686,0,0.003010905,0.00606305,0.006376537,0
415.1025883,0.028729552,0.049038428,0.020136567,0.01731858,0.001117069
432.1041217,0.001764344,0.012641409,0.0182357,0.019878194,0.002675783
433.1130371,0.192816783,0.163985573,0.089021569,0.07460632,0.014871978
461.1079613,0,0.000882898,0.007468506,0.007148434,0
