mz,8EV,10EV,15EV,20EV,25EV
115.0403889,0,0,0.01240684,0.029126113,0
118.0400874,0,0,0,0.005660741,0
119.0479621,0,0,0.008919247,0,0
121.0256961,0,0.004702468,0.015115834,0.010957832,0
133.0497404,0,0,0,0.008795709,0
137.0239542,0,0,0.005588161,0,0
141.0182255,0,0,0.008212872,0.005336629,0
153.0176775,0,0,0,0.003855441,0
165.0155405,0,0.0149227,0.017103329,0.014966699,0
167.0344741,0,0,0.006425711,0,0
181.0143614,0,0,0.011828985,0.008076974,0
183.0291078,0,0.011931899,0.015053103,0.010707548,0
195.0297376,0,0,0.004990976,0,0
197.0066498,0,0,0.017091067,0.012591543,0
207.0262264,0,0.005255798,0.009004146,0,0
242.053662,0,0.002503814,0.006631503,0,0
254.052193,0,0,0.010540603,0.006005238,0
255.068896,0,0,0.010242286,0.006215204,0
267.0629683,0,0.016426446,0.011866619,0,0
270.0533345,0.01350755,0.029631263,0.04418652,0.037197686,0.005907204
271.0597422,0.014673033,0.030082175,0.022013969,0.013794446,0
279.0604412,0,0,0.005549647,0,0
281.0835356,0,0.007948132,0,0,0
282.047887,0,0.011878556,0.023883706,0.017274054,0
283.0598843,0.125717417,0.211824981,0.171659123,0.135521037,0.028480385
284.0668874,0,0.027866603,0.056077514,0.040089634,0.005071137
285.0396505,0,0,0.015368678,0.010069489,0
294.0491094,0,0,0.00990264,0.00797809,0
295.0604976,0.014800812,0.052916035,0.079764862,0.063660465,0.01090101
296.0668735,0,0,0.012902998,0,0
297.0411632,0,0.044170027,0.060810827,0.055129533,0
298.0608595,0,0,0.013525071,0.015474685,0
299.0538885,0.079750088,0.15214299,0.26236223,0.218249308,0.064417762
307.0643681,0.010824538,0.025786928,0.043926831,0.03709654,0.006257696
308.0633702,0,0.005360977,0.008723432,0.005746067,0
309.0746376,0,0.047299645,0.023242781,0.014973143,0
311.0688575,0,0.006949371,0.012214813,0.010369467,0
312.0640419,0.008730104,0.045301846,0.085211974,0.061848803,0.011567387
313.0660205,0.167660359,0.283528598,0.268576036,0.208486962,0.059562187
323.0507586,0,0,0,0.016004086,0
323.0912943,0,0.017311968,0.019879332,0,0
325.0662899,0.009998845,0.023131535,0.062619321,0.033066404,0
326.0800593,0,0,0.006193454,0,0
336.0564622,0,0.008897985,0.018479621,0,0
337.0622429,0.081500476,0.143987366,0.095385815,0.06175961,0.011060589
341.0685348,0,0.004890972,0.015829741,0.015920411,0.004105424
349.0662,0.009844585,0.031839225,0.023080654,0.014440204,0
351.0844987,0,0.009777048,0.007752928,0,0
361.0663779,0,0.023816954,0.010531025,0,0
367.0756992,0.057939529,0.088346588,0.047147841,0.030086473,0.007015652
378.0675281,0,0,0.00756705,0,0
379.0865655,0.043297257,0.075881857,0.043210055,0.027976733,0.004867327
385.083529,0,0,0.003396734,0,0
396.0825771,0,0,0.005772058,0.005183641,0
397.088202,0.078533239,0.101483318,0.062845132,0.032735079,0.006225337
414.0935201,0.018394744,0.041562886,0.035132237,0.040335365,0.010563389
415.0997654,0.175108222,0.205948646,0.109139391,0.072048736,0.017801548
416.1089447,0,0.008597346,0.008380949,0.007109623,0
431.0847697,0,0,0.006100253,0,0
432.1032864,0.041464381,0.060751847,0.095884107,0.111328354,0.02674053
433.1189236,0.502768922,0.417548541,0.294864153,0.244443405,0.085379164
461.1051546,0,0,0.012791955,0.014861472,0.003882614
