,8EV,10EV,15EV,20EV,25EV
103.0398111,0,0,0.000104372,0.001372415,0.000313683
115.0540762,0,0,0.001591324,0.002625118,0
118.0413781,0,0,0.004801302,0.007236948,0.001001901
119.049336,0,0.000698447,0.008053307,0.006414612,0.000812857
121.0286835,0,0.008090684,0.030776695,0.02613572,0.003699949
127.0392003,0.000783166,0.002337145,0.003071541,0.002269833,0.000409109
131.0485933,0,0,0.001792349,0.002053751,0
137.0237501,0,0,0.002445627,0.001574189,0
145.0291141,0,0,0.002772573,0.002366634,0
153.0189714,0,0,0.004340101,0.004616932,0.000124698
163.0399237,0,0.000289997,0.007875496,0.007936062,0.000766273
165.0185216,0,0.001204493,0.008783925,0.006918916,0.000521024
167.0345136,0,0,0.001723217,0.00139863,0
169.0632639,0,0,0.001037494,0.001273423,0
177.0185555,0,0,0.004290971,0.003823154,9.14744E-05
181.0134973,0,0.002439884,0.019336023,0.021031325,0.003489676
183.0300847,0,0.005783681,0.017326471,0.013756192,0.001438851
187.0395579,0,0,0.004073557,0.003464477,0
191.0331849,0,0,0.001494586,0.000841682,0
194.0214983,0,0,0.001922567,0.001789604,0
195.0296513,0,0,0.002060653,0.001004644,0
197.0088357,0,0,0.011309821,0.011467232,0.001464821
198.5466117,0,0,0,0,0
199.0243382,0,0,0.002599043,0.003450718,0
205.0490816,0,0.000142112,0.001515769,0.001174535,0
207.0294696,0,0,0.002192403,0.002127683,0
207.552264,0,0,0.007745324,0.020064735,0.004175128
213.0548149,0,0.002740229,0.006321113,0.005388179,0.000402532
216.5566736,0,0,0.001631856,0.002911659,0
217.0497412,0,0.004295075,0.001896862,0.000766822,0
219.0276191,0,0.000140034,0.001077491,0.000169037,0
225.0510369,0,0,0.000398215,0.000446284,0.000289113
227.0696384,0,0,0.002960128,0.00191916,0
241.0488487,0,0,0.002787741,0.002176036,0
242.0580767,0,0,0.006880546,0.005236201,0.000483416
243.0656903,0,0.000658125,0.002386093,0.001044605,0
253.0500759,0,0,0.001802807,0.001951839,0
254.0581671,0,0,0.008126848,0.006358194,0
255.0661325,0,0.002552098,0.013041889,0.012745031,0.001343877
256.0734911,0,0.003712205,0.01685391,0.018989295,0.00210863
259.0602661,0,0.005111352,0.00163237,0.001502301,0
261.0386589,0,0.008169709,0.003153407,0.001127533,0
266.0565872,0,0,0.001317124,0.000180404,0
267.0659716,0,0.000302729,0.002433251,0.002431702,0
269.0444319,0,0,0.003862886,0.004020537,0
270.0531084,0,0.003645313,0.02149221,0.016643304,0.001665201
271.0613303,0.00239701,0.018021386,0.017898896,0.012710702,0.001381378
273.0396042,0,0,0.003514368,0.005424991,0
279.0660259,0,0.0001157,0.001721403,0.000194358,0
282.0527306,0,0.00423463,0.010489153,0.009429584,0
283.0620046,0.057315335,0.162218687,0.170194272,0.133110614,0.023783838
284.0689197,0.003359687,0.051006346,0.097627263,0.069737338,0.012099081
285.050347,0,0.000458004,0.006284073,0.00733923,0
294.0512446,0,0.001998015,0.008974836,0.00715489,0
295.0610659,0.009380367,0.040588108,0.06607252,0.048340489,0.008675675
296.0682788,0,0,0.002244538,0.001741569,0
297.0664312,0,0.010914825,0.043042622,0.037776915,0.00527785
298.0484073,0,0.009702763,0.046811028,0.048222955,0.005749672
299.0574075,0.009471641,0.155383987,0.287003733,0.256735477,0.07841228
300.0600995,0,0,0.000591117,0.001232299,0
307.0589382,0,0.001879709,0.004160904,0.002622306,0
308.0669493,0,0.001042334,0.004468445,0.001492441,0
309.0759858,0,0.004554347,0.006582809,0.003572519,0
310.0475768,0,0,0.002934712,0.001889233,0
311.0557683,0.000203964,0.014716224,0.01825126,0.015345286,0.001821735
312.0631445,0.001188853,0.034180871,0.066177105,0.047296882,0.007316323
313.0731016,0.106829752,0.285646212,0.274204205,0.20662778,0.045421103
315.0504111,0,0.006537613,0.022494581,0.044136935,0.006884908
316.0585737,0,0.000141706,0.002707096,0.003360093,0
323.0829158,0,0.02700563,0.02005623,0.011895105,0
325.0707375,0,0.010249381,0.021071617,0.012833937,0.001690839
327.0821809,0,0.000244734,0.004967489,0.003255334,0
336.0631324,0,0.00638041,0.009258267,0.005229283,0
337.0712895,0.023568224,0.097199341,0.038945019,0.028059685,0.004430068
341.0664762,0,0.004142979,0.011762423,0.008769709,0.000881006
342.0731906,0,0.000181258,0.00222416,0.00132501,0
343.0823618,0.009071447,0.04952109,0.028507851,0.018476498,0.002804728
349.0716121,0,0.00439153,0.001788683,0.000610266,0
351.0870045,9.22533E-05,0.026172684,0.010271822,0.005931625,0.000592967
355.0820208,0,0.011031683,0.008353832,0.004262824,0
366.073083,0,0.001282462,0.003913656,0.000933567,0
367.0821437,0.030099643,0.077602458,0.033404157,0.022219205,0.003712106
369.0980064,0,0.001106043,0,0,0
379.0819749,0.012212675,0.064163729,0.024409139,0.016953752,0.002593586
396.0848546,0,0.005025626,0.006213732,0.002971574,0
397.0926586,0.076867942,0.212157592,0.082752099,0.062856461,0.014399345
414.0962586,0,0.016738,0.027268268,0.028927264,0.003057978
415.104613,0.263765237,0.288775628,0.127956898,0.102498648,0.024232874
431.0986219,0,0.002938417,0.009670661,0.004806529,0
431.6904853,0.001309581,0.000872017,0,0,0.005027041
