Mass,8EV,10EV,15EV,20EV,25EV
103.0395101,0,0,0,0.00969643,0
115.0537481,0,0,0.000544348,0.003116858,0
118.0416321,0,0,0.003033045,0.0069493,0
119.0493656,0,0.003778344,0.007796369,0.00568503,0
121.028609,0,0.003693995,0.012588208,0.012683111,0.000798776
124.0160731,0,0,0,0.001932224,0
137.0235542,0,0,0.003846513,0.003075665,0
141.0184725,0,0,0.010624531,0.008614865,0
145.0287578,0,0,0.003361433,0.003455477,0
149.0233333,0,0,0.000969271,0.001334524,0
153.0188952,0,0,0.004698466,0.005346408,0
154.0314761,0,0,0,0.001217803,0
155.0363185,0,0,0.001460305,0,0
163.0387001,0,0,0.003047248,0.002151401,0
165.0186145,0,0.009246674,0.010927656,0.009247028,0
167.0345854,0,0.003397836,0.009575934,0.007040345,0
177.0192914,0,0,0.003611297,0.00490721,0
181.0136028,0,0.000918434,0.008889239,0.010667597,0
183.0293683,0,0.024737546,0.024462451,0.024860353,0.002876491
184.0404167,0,0,0.001621054,0.000995064,0
189.0186945,0,0,0.001123514,0,0
191.0346146,0,0,0.001608415,0,0
195.0293068,0,0.002477863,0.006936577,0.004717882,0
197.0091009,0,0.001667415,0.018211867,0.015886626,0.001620384
198.5465063,0,0,0,0.004401867,0
207.0293552,0,0.006537153,0.006177786,0.00526898,0
207.5502996,0,0,0.001539335,0.005468561,0
213.0530464,0,0,0.001147009,0.00059888,0
216.5567845,0,0,0.003520323,0.007288562,0
227.0698179,0,0,0.001636638,0.000647474,0
229.0502721,0,0,0.003305404,0.002587911,0
239.0700354,0,0,0.001900458,0,0
241.049867,0,0,0.000507797,0.002454866,0
242.0578041,0,0,0.004932496,0.005309773,0
253.0486739,0,0,0.000606993,0.001600446,0
254.0583252,0,0.003461182,0.012049822,0.010943551,0
255.065408,0,0.006579284,0.013640513,0.011081109,0.000442631
256.0715717,0,0,0.000452675,0.001229331,0
266.0573174,0,0,0.001686811,0.00308555,0
267.0660096,0,0.021017506,0.019708859,0.015955985,0.000538525
269.0450529,0,0,0.004300574,0.004990073,0
270.0534642,0,0.011061465,0.029969759,0.027164351,0.003890082
271.0610169,0.016767844,0.025476476,0.016821595,0.014610461,0.00173159
279.065334,0,0,0.005380496,0.004128416,0
281.0799685,0,0.0088246,0.003750489,0.000576213,0
282.0530042,0,0.016435522,0.032054669,0.029933613,0.003993623
283.0621166,0.188751862,0.253928361,0.189137402,0.156515417,0.032731401
284.0684705,0.0023625,0.037804313,0.065516746,0.059561707,0.010521242
285.0420609,0,0.001354546,0.011822211,0.017562047,0.002816143
294.0530091,0,0.003444512,0.010767325,0.017667391,0.002004476
295.0610566,0.024185946,0.058131227,0.074611059,0.064778531,0.009470171
296.0668726,0,0,0.005536451,0.004722525,0
297.0464791,0.000601701,0.035220405,0.057267607,0.062126201,0.006724035
298.0483378,0,0.001406659,0.011273047,0.019428679,0.001849607
299.0567946,0.081633096,0.169249171,0.243034141,0.203151782,0.04658154
300.0634128,0,0.000977912,0,0.003343866,0
307.0604108,0.017393244,0.028009579,0.025759962,0.020999471,0.002494691
308.0682998,0,0.00615614,0.00850749,0.006267926,0
309.0753761,0.008605472,0.05825935,0.025058752,0.015735531,0.000907191
311.0553971,0.001902934,0.005631181,0.006043792,0.009920741,0.000317221
312.0637325,0.003043628,0.033334986,0.069173864,0.069694199,0.011499056
313.0730976,0.268085271,0.38518275,0.292811915,0.237044106,0.057284632
315.0498813,0,0.002244885,0.007311277,0.008359488,0
321.0758292,0,0.005166176,0.003113952,0.001266536,0
323.086593,0.003630543,0.030889632,0.016711932,0.010514036,0.00034436
325.0710425,0.007296891,0.015081968,0.02310423,0.014329942,0.001824152
333.0740949,0,0.007050546,0.002495455,0.000621824,0
336.0632551,0,0.00751405,0.012497546,0.008160682,0
337.0714632,0.166483585,0.15081444,0.072247008,0.057339647,0.01212971
341.0667337,0,0,0.005716963,0.00429979,0
349.0719161,0.018187299,0.041887654,0.016047504,0.011796434,0.000393033
351.086737,0.009591228,0.019177355,0.005610446,0.003915611,0
359.0768886,0,0,0.002858938,0,0
361.071226,0.016999093,0.038600603,0.011449041,0.00814041,0
366.0733504,0,0,0.002576931,0.000478513,0
367.0824645,0.109010815,0.064213024,0.033423466,0.029457901,0.006924787
378.0746662,0,0.000548908,0.003749788,0.00166512,0
379.0821027,0.090662463,0.097787143,0.041494264,0.031418239,0.006328808
387.1088633,0.013024588,0.008605604,0.010230028,0.008208783,0.009068213
396.0850826,0,0,0.002819661,0,0
397.0930498,0.125660609,0.088107136,0.039857872,0.034081612,0.008801324
414.0947142,0,0.007850748,0.010759537,0.010235406,0
415.1037568,0.154275182,0.077519264,0.050133013,0.04129317,0.020435634
431.0962661,0,0,0.000919527,0.000610148,0
