mz,8EV,10EV,15EV,20EV,25EV
129.050116,0,0,0,0.006967485,0
132.0136826,0,0,0,0.011612475,0.012938978
135.0416495,0,0.003162297,0.011845387,0.008924264,0
137.0587089,0,0.004029379,0.058254771,0.00397974,0
150.0293129,0,0,0.004525223,0,0
150.0665392,0,0,0.005489614,0,0
151.0745098,0,0,0,0.006271105,0
153.0183736,0,0.013455601,0.031234044,0.053308951,0
165.0186432,0,0,0.00436409,0,0
171.0277506,0.001929547,0,0.005637982,0,0
177.0517992,0.001741149,0.016773424,0.053336799,0.015557164,0
179.0335385,0,0.002142201,0.010428121,0,0
195.0270352,0.005551389,0.027773642,0.048367398,0.01121563,0
202.0619538,0,0,0.004080119,0,0
217.0498715,0,0,0.002596439,0,0
225.0411242,0,0,0,0,0.006259299
227.0190414,0,0,0,0,0.0023718
228.0171666,0,0,0,0,0.002658052
263.0541458,0,0,0.009940653,0,0.001799297
283.0288463,0,0,0,0.006271105,0
299.0579039,0.001886245,0,0,0.004341534,0.005588597
301.0719305,0,0,0,0.00464499,0
302.0729592,0,0,0.044300229,0.012393282,0
303.0875961,0.132901402,0.227626554,0.388046575,0.274276803,0.041272381
315.0878471,0,0,0.003264095,0,0
344.0906141,0,0,0,0.009768452,0
345.0969712,0.013160499,0.01425486,0.016334165,0.00464499,0.002003762
369.1044127,0.003710667,0,0,0.006271105,0
393.0906436,0.002275876,0,0,0,0
413.1240747,0.004997031,0,0,0,0
429.1171182,0.001596053,0,0,0,0
431.1258675,0.010125481,0.004877983,0,0,0.0035577
446.1214885,0,0,0,0.00530856,0
447.1343268,0.002275876,0.006983441,0,0,0
449.1434801,0.127251684,0.086254425,0.031973294,0.037524436,0.035068354
464.1360739,0,0,0,0.008704755,0
465.1419355,0.055948913,0.025627269,0.006234414,0.031583436,0.007531951
575.1925561,0.001731645,0,0.002744807,0,0
578.13795,0,0,0,0.004755585,0
593.1550503,0.022405546,0.011766567,0.009198813,0.033374082,0
