mz,10EV,15EV,20EV,25EV
109.0309653,0,0,0.002139977,0.001186153
111.0087901,0,0.001512778,0.003953168,0
112.0121944,0,0.001608719,0.008176498,0.002513625
113.0232126,0,0.021762834,0.018637611,0.004324446
125.0224407,0,0.008422744,0.005301583,0
127.0369415,0,0.015298882,0.029390799,0.006242241
132.0140353,0,0,0,0.002694489
138.0286713,0,0.002038918,0.002037689,0
139.0350791,0,0.005673759,0.003930258,0
140.0439822,0,0.003883925,0.001577728,0
141.0157743,0,0,0.001918686,0
141.0507097,0,0.006325576,0.001448908,0
145.0451713,0,0,0.032177662,0.006686397
155.034713,0,0.005943431,0.00709451,0
156.041183,0.001873233,0.01159175,0.008139324,0
157.0447652,0,0.013798199,0.008973657,0.002563908
158.0576888,0,0.003732983,0.001397205,0
163.06114,0,0,0.001544181,0
167.0343957,0,0.006745897,0.00426647,0.001090673
168.0307233,0,0.003151848,0.001142574,0
169.0504121,0,0.033466661,0.030639201,0.005000651
171.03107,0,0.027356492,0.014599776,0.003462829
173.0426115,0,0.00129207,0.004736105,0
183.0206011,0,0.001702751,0,0
184.0301903,0.00268754,0.013048206,0.009353166,0.001764489
185.0398885,0.006990592,0.143577326,0.135883413,0.04138915
186.0536866,0.001677954,0.012824893,0.008152447,0
187.0594785,0.001730051,0.001107657,0,0
188.0222222,0,0.001111439,0,0
190.0432903,0,0.001453859,0,0
201.0406636,0.018310574,0.147255222,0.131926956,0.033274167
202.0401769,0,0.001963965,0.001924396,0
203.0561415,0.009819468,0.072569161,0.073591721,0.015074681
218.0377599,0,0.013705576,0.006645007,0
219.0466876,0,0.004478512,0,0
229.0310093,0,0.005429991,0.001434399,0
231.0462273,0.024342283,0.240723693,0.208689087,0.068732148
244.0561277,0,0.004548967,0.004651652,0
245.0727679,0.001242417,0.080952811,0.052704521,0.009874631
257.0606221,0,0.0034715,0.009876623,0.001810739
259.0799176,0.001631253,0.01411853,0.00541863,0.001454581
261.0678735,0,0.00691084,0.005027799,0
273.0567253,0,0.003653992,0,0
275.07786,0,0.00350689,0.001828136,0
289.0554175,0,0.001044924,0,0
291.0661474,0,0.003376467,0.002288496,0.001088379
305.0860662,0,0.001290185,0,0
317.0798371,0,0.023459076,0.014223389,0.001180155
331.0918048,0,0.001243568,0,0
333.08782,0.001095561,0.009898602,0.00497866,0
334.0889732,0.003163588,0.005523974,0.001935006,0
347.0981643,0,0.027513815,0.015454527,0.003252818
349.0813247,0.002688581,0,0.002280533,0
