mz,10EV,15EV,20EV,25EV
111.0169543,0,0.00160147,0.00207813,0
112.0110266,0,0,0.001477611,0
113.0168267,0,0.006901954,0.006632689,0
125.0233802,0,0.001330554,0.001740499,0
127.036782,0,0.001108673,0.008229794,0.002942955
132.0195155,0,0,0,0.002189489
139.0349178,0,0.003319405,0.00145345,0
141.0109529,0,0.002516698,0.001945398,0
141.0493791,0,0.00112005,0,0
145.0485459,0,0,0.004206172,0.001540484
155.0308703,0,0.008711074,0.006694934,0
156.0422269,0,0.001617145,0.001002245,0
157.0482695,0,0.003591703,0.001488384,0
167.0278653,0,0.002811752,0.001670076,0
168.0406972,0,0.006125169,0.004134574,0
169.0527658,0,0.010262066,0.006286678,0.002184445
171.0308715,0,0.006678288,0.006094744,0.001399498
173.0437006,0,0,0.006807726,0.001010184
185.0396738,0.003137067,0.069391562,0.061265277,0.014608075
186.0494582,0,0.004917445,0.003342381,0
187.059308,0.00339052,0.002637387,0.001013725,0
191.0569088,0,0,0.001936689,0
201.0390399,0.009069854,0.081845888,0.06570648,0.01198521
203.0502973,0.001491226,0.056757892,0.071368134,0.013976872
213.0478457,0,0.001075963,0,0
218.0432779,0,0.00213514,0.001535113,0
219.0449612,0,0.001604756,0,0
225.0415416,0,0,0,0.001104931
227.0524278,0,0.001174227,0,0
231.0474496,0.022704504,0.177312006,0.202452194,0.068895582
243.0489012,0,0,0.00116355,0
244.0558444,0.005891134,0.008543231,0.006766734,0
245.0648692,0.002252666,0.131967258,0.085531882,0.023006113
249.0552369,0,0.00277133,0.003511861,0
257.0650403,0,0.01266188,0.009507674,0.00218983
259.0782235,0.01055232,0.104699622,0.053809485,0.006827418
273.0597171,0,0.004725892,0.001125136,0
274.0701354,0,0.004225603,0.002720793,0
275.0742881,0,0.012046793,0.009366025,0.001971103
277.0848109,0,0.001471008,0,0
287.0779061,0,0.002811913,0.001172665,0
289.0950949,0,0.002268188,0,0
291.0741466,0,0.00225147,0.001152498,0
301.0844491,0,0.001853503,0,0
303.0665238,0,0.002748155,0,0
305.0876427,0,0.004224396,0.00206725,0
317.0881996,0,0.019199103,0.010740099,0
319.0994125,0,0.005303387,0,0
329.0836174,0,0.004709705,0.001906585,0
331.0985575,0,0.001141469,0,0
333.0874334,0,0.005077623,0.001974848,0
334.0867613,0,0.001437211,0,0
347.0868002,0.001253498,0.041485795,0.020580706,0.004151589
