mz,10EV,15EV,20EV,25EV
109.0267656,0,0,0.001010335,0
111.0056123,0,0.001359698,0.002235812,0
112.0142609,0,0,0.001569259,0
113.0190336,0,0.011007299,0.010128358,0.002831947
123.0392576,0,0.001299266,0,0
125.0202377,0,0.00134282,0.00182409,0
127.0380364,0,0.004631638,0.010927648,0.002778015
132.0217959,0,0,0.001240269,0.002015536
137.020049,0,0,0.001255909,0
138.029654,0,0,0.001121017,0
139.0373803,0,0.004576735,0.00301825,0.001081354
141.0111051,0,0.003361359,0.001852649,0
143.0339207,0,0,0.001012408,0
145.0487024,0,0,0.003400034,0.002143174
155.0298167,0,0.007098839,0.006468952,0
156.0448451,0,0.004618799,0.001330815,0
157.0459813,0,0.00385876,0.002276214,0
167.0303889,0,0.001938927,0.002661734,0
168.0383363,0,0,0.001184238,0
169.0452986,0,0.012235239,0.009983585,0.001074673
171.0297737,0,0.012770569,0.008723477,0.001922368
173.0437361,0,0.001731096,0.005213474,0.001463813
185.0398735,0.00177559,0.07023545,0.051682695,0.012259633
186.0509965,0.00102896,0.002684766,0.004030973,0
187.0554865,0.002547928,0.005180534,0.001885624,0
191.0542372,0,0,0.002568623,0
201.0378665,0.009414355,0.100363461,0.077216846,0.02091561
202.0471296,0,0,0.00104089,0
203.0517555,0.001848999,0.068869192,0.081268028,0.01968063
213.0437818,0,0.001238495,0.001210504,0
218.043534,0,0.002650136,0.001731061,0
227.0497178,0,0.003595324,0,0
231.0402465,0.023380304,0.198933521,0.216903989,0.080963335
241.0734911,0,0.001029192,0,0
243.0458936,0,0.001762748,0.001496754,0
244.0530441,0,0.004525115,0.002435726,0
245.0743442,0.005603581,0.145922754,0.103845975,0.029263247
247.0539796,0,0.001394916,0,0
249.0555057,0,0.001270557,0.001142876,0
257.0574569,0,0.011667102,0.011693555,0.001111482
258.0677784,0,0.001229037,0,0
259.0706116,0.014024402,0.118714182,0.067267585,0.015939118
271.0800514,0,0,0.001148085,0
273.064873,0,0.004250044,0.00292927,0
274.0639379,0,0.004058334,0.001818666,0
275.079464,0,0.013798255,0.007889133,0
287.0729806,0,0.002350306,0.001869977,0
289.055394,0,0.002780272,0.001133944,0
291.0677967,0,0.001813829,0,0
300.0698452,0,0.001419279,0,0
301.0898786,0,0.002217326,0.001443006,0
303.0788006,0,0,0.001094049,0
305.0688652,0.001741751,0.008248256,0.003203197,0
317.0867958,0,0.017935325,0.012787447,0.002242656
318.0898569,0,0.001745274,0,0
319.0962537,0,0.00496892,0.002534747,0
329.0768573,0,0.005685025,0.002519065,0
331.1060521,0,0.001998291,0,0
333.0860033,0,0.003727203,0.001066225,0
334.0853614,0,0.00141042,0,0
335.0931034,0,0,0.001266266,0
347.0944823,0,0.056258783,0.027665064,0.003516045
349.0758001,0,0.004636983,0,0
